,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.15,35.97,109.0,136.21,97.97,87.39,30.07,15.8,22.97,13.94,23.28,27.05,12.34,,19.63,14.52
f_1,89.4,1.15,72.67,93.4,94.7,87.39,20.05,22.72,30.96,20.27,,12.02,9.0,28.92,16.95,15.12
d_1,102.17,92.35,1.15,96.15,91.65,77.31,27.16,,18.74,19.11,16.17,22.54,12.0,31.33,24.87,7.72
c_1,85.14,155.32,102.19,1.15,97.97,91.36,20.54,10.24,22.97,,21.56,22.54,14.4,18.8,18.65,15.12
b_1,132.44,162.71,109.0,53.59,1.15,143.57,31.19,22.03,33.9,27.88,19.4,,17.28,23.5,16.95,13.44
a_1,143.04,155.32,181.67,181.61,94.7,1.15,49.53,30.29,47.47,44.6,21.56,49.18,21.6,,,22.69
h_1,87.22,100.5,90.83,90.81,86.09,111.67,2.0,20.19,28.48,16.32,24.25,20.81,,17.09,15.54,14.52
d_0,47.68,113.9,,105.45,83.56,83.75,24.76,2.94,32.36,19.11,16.63,14.62,8.82,15.67,16.95,12.96
g_1,143.04,122.04,102.19,172.05,129.14,134.0,22.76,21.38,2.0,23.89,25.3,24.59,12.34,22.12,19.63,
c_0,111.75,68.34,47.39,,101.46,143.57,29.03,26.93,23.73,2.97,26.45,19.32,11.37,17.09,17.76,10.68
f_0,143.04,,112.76,83.82,101.46,154.62,33.68,20.77,15.15,19.68,2.95,25.76,15.43,26.86,31.08,10.37
b_0,94.11,142.38,121.11,125.73,,100.5,35.08,20.19,41.88,15.93,22.38,2.94,16.0,25.07,23.31,19.11
h_0,102.17,103.55,105.48,72.64,113.64,71.79,,20.77,29.67,16.72,20.07,20.04,,12.53,18.65,12.1
e_0,,201.0,163.5,172.05,142.05,,35.08,36.35,47.47,37.17,16.17,33.81,39.27,3.01,,27.92
a_0,255.43,179.84,251.54,172.05,189.4,,40.1,25.96,41.88,41.81,27.71,17.45,25.41,,3.36,22.69
g_0,149.0,142.38,130.8,112.72,118.37,143.57,20.54,31.61,,19.11,24.25,21.64,13.09,17.09,18.65,
