,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.07,8.72,9.53,7.62,8.51,6.86,2.86,2.43,2.49,4.29,3.12,,1.93,1.27,2.01,2.76
c_1,8.76,1.07,9.86,10.51,16.76,9.74,2.65,1.67,,3.63,3.04,2.28,2.76,1.8,2.33,2.14
e_1,6.71,9.55,1.07,10.29,8.82,9.47,3.58,3.01,3.21,3.57,2.91,2.58,1.94,2.14,,2.21
b_1,11.47,6.17,8.8,1.07,10.2,11.55,5.06,3.0,3.3,4.1,,2.46,2.89,2.15,2.39,1.81
d_1,11.05,8.82,11.75,8.58,1.07,6.89,3.03,,4.49,2.1,2.99,2.89,3.61,2.49,2.87,1.67
a_1,15.71,12.8,17.4,9.6,14.54,1.07,5.42,4.08,3.3,4.4,4.11,3.77,,3.7,3.81,2.8
h_1,14.31,19.75,13.43,12.64,14.75,11.42,1.41,4.27,4.39,5.68,4.58,3.62,4.47,,,2.82
d_0,18.21,13.43,9.49,17.36,,13.34,5.02,1.75,4.53,4.47,2.92,3.65,3.22,2.51,4.15,2.73
c_0,14.08,,14.19,14.89,8.06,13.87,5.19,4.42,1.71,5.58,4.18,5.27,3.9,3.67,3.78,2.9
g_1,14.44,15.0,17.14,13.55,23.1,18.89,5.1,5.88,5.38,1.41,4.57,5.08,4.53,3.9,,
b_0,14.37,22.06,14.13,,16.23,17.44,5.35,7.97,3.43,5.39,1.76,3.8,7.54,3.41,4.26,4.57
f_0,,20.78,23.77,16.42,15.67,15.18,8.6,5.39,4.46,4.48,5.46,1.74,,4.27,5.43,2.65
a_0,23.99,25.55,27.18,19.74,14.53,,7.7,9.6,5.89,7.4,2.98,,1.7,5.94,,4.24
h_0,20.44,17.16,17.25,19.4,15.75,15.28,,4.92,4.54,5.25,5.66,4.84,3.21,,4.1,4.05
e_0,28.92,24.97,,21.05,21.58,17.08,,7.09,6.53,,6.58,4.22,,5.73,1.74,3.97
g_0,20.68,18.29,23.32,23.82,23.3,15.62,5.89,6.07,5.45,,4.05,5.86,5.71,3.81,4.46,
