,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.22,0.93,0.87,0.87,0.71,0.6,0.65,0.63,0.63,0.6,0.58,0.46,0.56,0.53,0.62
e_1,0.83,1.0,1.13,0.91,0.97,0.91,0.73,0.92,0.71,0.64,0.63,0.74,0.6,0.55,0.68,0.58
c_1,1.06,0.89,1.0,1.05,1.31,0.82,0.7,0.48,0.62,0.56,0.56,0.56,0.62,0.57,0.45,0.56
d_1,1.15,1.08,0.94,1.0,0.89,0.86,0.7,0.68,0.6,0.84,0.73,0.58,0.62,0.63,0.5,0.47
b_1,1.14,1.04,0.78,1.16,1.0,1.34,0.83,0.67,0.66,0.72,0.66,0.63,0.69,0.53,0.56,0.6
a_1,1.4,1.08,1.24,1.15,0.76,1.0,0.98,0.79,0.88,0.81,0.87,0.83,0.74,0.67,0.72,0.68
h_1,1.64,1.36,1.42,1.4,1.23,1.04,1.0,0.94,1.05,0.84,0.92,0.77,0.8,0.85,0.85,0.9
d_0,1.47,1.07,2.11,1.44,1.52,1.28,1.05,1.0,1.15,0.84,0.97,0.92,1.04,0.9,1.01,0.87
g_1,1.63,1.44,1.62,1.71,1.44,1.13,0.96,0.87,1.0,0.93,0.95,1.07,0.79,0.91,0.85,0.87
c_0,1.6,1.55,1.75,1.18,1.36,1.26,1.13,1.17,1.09,1.0,1.45,1.03,1.12,1.09,0.96,0.97
b_0,1.64,1.54,1.85,1.34,1.55,1.12,1.14,1.05,1.01,0.69,1.0,1.0,1.01,1.53,0.97,0.92
f_0,1.7,1.41,1.7,1.7,1.6,1.3,1.28,1.13,0.87,0.99,0.97,1.0,1.14,1.14,1.48,0.69
h_0,2.19,1.71,1.53,1.59,1.45,1.33,1.23,0.99,1.24,0.92,1.05,0.88,1.0,0.87,0.94,1.08
a_0,1.77,1.83,1.81,1.69,1.79,1.46,1.14,1.1,1.07,0.98,0.68,0.9,1.1,1.0,0.97,1.04
e_0,1.94,1.54,2.14,1.91,1.72,1.32,1.23,0.96,1.18,1.07,1.11,0.67,1.09,1.04,1.01,0.84
g_0,1.69,1.66,1.81,2.14,1.67,1.51,1.08,1.13,1.17,1.1,1.09,1.4,0.94,0.97,1.2,1.0
