,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,0.68,1.18,1.34,1.32,1.06,0.36,0.25,0.24,0.4,0.23,0.34,0.17,0.22,0.41,0.18
f_1,1.05,0.43,1.13,1.32,1.19,0.89,0.23,0.23,0.22,0.4,0.25,0.36,0.13,0.2,0.23,0.2
d_1,1.45,1.33,0.4,1.35,1.25,1.17,0.29,0.38,0.23,0.2,0.23,0.22,0.17,0.22,0.21,0.11
c_1,1.04,1.25,1.97,0.39,1.23,1.21,0.4,0.15,0.48,0.37,0.26,0.24,0.17,0.25,0.28,0.19
b_1,1.39,1.66,1.44,0.72,0.37,1.41,0.46,0.3,0.38,0.52,0.5,0.32,0.21,0.35,0.23,0.21
a_1,1.7,1.87,1.61,1.51,0.75,0.33,0.54,0.38,0.32,0.44,0.39,0.34,0.27,0.65,0.33,0.27
h_1,2.32,1.95,1.92,2.41,2.14,1.82,0.3,0.53,0.42,0.61,0.44,0.43,0.37,0.37,0.34,0.31
d_0,1.47,2.13,3.89,2.39,2.67,2.08,0.76,0.35,0.57,0.84,0.47,0.55,0.37,0.53,0.55,0.46
c_0,2.7,2.58,1.3,4.79,2.43,2.63,0.67,0.71,0.32,0.67,0.46,0.48,0.33,0.5,0.45,0.31
g_1,2.45,2.64,2.31,2.87,2.01,2.97,0.5,0.55,0.45,0.27,0.51,0.43,0.24,0.41,0.43,0.44
b_0,2.3,2.53,2.07,3.29,3.4,2.57,0.74,0.58,0.3,0.78,0.32,0.47,0.34,0.52,0.42,0.33
f_0,2.54,3.84,2.29,2.82,2.32,2.88,0.68,0.57,0.52,0.46,0.47,0.29,0.35,0.39,0.43,0.21
h_0,2.73,3.26,2.85,3.1,2.98,2.82,1.14,0.59,0.65,0.85,0.59,0.55,0.57,0.56,0.62,0.4
a_0,2.92,3.21,3.03,3.66,4.11,3.94,0.8,0.74,0.56,1.14,0.35,0.64,0.5,0.28,0.55,0.36
e_0,4.48,4.98,3.11,3.22,2.52,2.69,1.07,0.74,0.71,0.67,0.69,0.32,0.45,0.59,0.27,0.41
g_0,3.6,3.26,3.01,3.35,3.5,2.88,0.72,0.79,0.67,1.11,0.65,0.63,0.36,0.58,0.67,0.59
