,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,1.88,2.55,2.21,2.37,1.52,0.69,0.71,0.81,0.58,0.65,0.73,0.34,0.57,0.41,0.5
d_1,2.65,1.06,2.36,2.2,1.91,1.91,1.0,0.99,0.64,0.92,0.67,0.66,0.53,0.61,0.59,0.37
e_1,1.47,2.65,1.06,2.66,2.28,2.14,0.88,0.91,1.0,0.61,0.71,0.82,0.63,0.61,1.01,0.58
c_1,2.48,3.0,2.07,1.06,2.97,2.28,0.78,0.45,0.87,0.99,0.63,0.64,0.59,0.61,0.54,0.52
b_1,2.74,2.85,2.85,1.68,1.06,2.59,1.24,0.91,0.95,0.96,1.27,0.68,0.69,0.72,0.9,0.64
a_1,5.59,3.55,3.16,3.23,2.01,1.07,1.42,1.09,1.59,1.03,1.09,0.99,0.88,1.43,0.98,0.7
h_1,6.19,5.51,6.05,7.06,5.34,4.9,1.33,1.75,2.2,1.67,1.59,1.67,1.61,1.28,1.43,1.53
d_0,7.11,10.4,4.17,7.77,7.58,6.6,3.06,1.54,2.35,1.84,2.05,1.93,1.55,1.63,1.97,1.52
g_1,7.38,7.2,7.05,6.92,7.01,5.53,2.17,2.42,1.34,2.13,2.02,2.32,1.3,2.06,1.65,2.53
c_0,8.68,4.26,7.92,11.9,7.03,6.26,2.98,3.01,2.78,1.52,2.76,1.96,1.93,1.75,1.82,1.62
b_0,7.96,7.89,7.05,9.03,11.67,7.29,2.87,1.99,2.61,1.3,1.55,2.1,1.9,2.36,2.02,1.61
f_0,14.93,7.71,7.75,9.24,8.57,7.84,3.09,2.44,2.21,2.42,2.46,1.56,1.95,2.15,2.73,1.3
h_0,11.56,9.01,8.77,9.76,8.34,7.4,4.48,3.38,3.68,2.65,2.46,2.78,2.98,2.01,2.01,2.52
a_0,12.26,8.83,10.01,10.98,13.15,12.85,4.75,3.35,3.57,3.57,1.78,3.16,2.85,1.6,2.14,2.12
e_0,20.22,10.1,12.71,12.45,11.47,7.86,4.34,3.41,3.76,3.32,2.81,1.79,2.62,3.44,1.6,2.1
g_0,12.3,13.34,10.54,11.65,10.21,11.06,3.47,3.69,4.59,3.39,3.18,3.36,1.98,2.53,2.98,3.21
