,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.06,2.45,2.26,2.08,1.97,1.89,0.79,0.56,1.05,0.73,0.65,0.59,0.52,0.64,0.35,0.51
f_1,2.09,1.06,2.56,2.37,2.12,1.8,0.65,0.9,0.68,0.61,0.55,0.81,0.36,0.5,0.59,0.43
e_1,2.72,1.49,1.06,2.45,2.2,2.06,0.99,0.89,0.83,0.76,0.76,0.71,0.53,0.58,0.47,0.79
c_1,3.15,2.54,2.35,1.06,2.76,2.1,1.0,0.87,0.51,0.88,0.66,0.81,0.69,0.58,0.52,0.67
b_1,2.8,3.19,2.63,1.71,1.07,2.93,1.06,1.03,0.84,0.85,1.45,0.82,0.65,0.97,0.69,0.72
a_1,3.2,4.63,3.62,3.94,2.11,1.07,1.69,1.82,1.26,1.09,1.3,1.0,0.96,1.79,0.98,1.05
h_1,6.54,6.42,5.53,5.59,6.19,4.61,1.35,2.49,1.7,1.5,1.7,1.59,2.02,1.52,1.47,1.56
g_1,7.19,6.85,7.23,6.52,7.0,4.82,1.9,1.34,2.09,2.1,1.99,2.09,1.27,1.77,1.56,1.69
d_0,8.7,7.39,4.4,8.38,7.19,5.91,2.6,2.76,1.52,2.0,2.3,1.7,1.83,1.56,1.65,1.98
c_0,4.33,8.32,6.72,13.09,7.55,6.3,3.16,2.72,2.79,1.58,2.61,2.04,1.77,1.84,1.44,1.92
b_0,6.74,8.59,7.42,10.32,9.12,5.57,2.94,2.69,2.14,1.35,1.52,1.95,1.66,2.06,1.59,1.63
f_0,7.66,13.49,8.53,7.52,7.37,7.16,3.53,2.31,2.78,2.6,2.86,1.56,2.11,2.3,1.34,3.05
h_0,9.03,10.95,10.38,8.31,9.38,7.28,4.42,3.75,2.87,2.77,2.59,2.65,2.99,2.28,2.25,2.01
a_0,9.56,11.49,10.66,10.02,9.68,11.03,3.69,4.62,3.76,2.79,2.17,2.26,2.32,1.61,2.18,2.66
g_0,12.27,10.75,11.73,13.02,9.92,8.5,3.39,7.57,3.39,3.72,3.2,3.42,2.09,3.0,2.88,3.26
e_0,10.82,17.62,17.26,11.54,11.04,8.95,3.99,3.95,2.85,2.79,4.2,1.6,3.19,3.02,2.18,1.63
