,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.17,1.49,1.94,1.53,1.81,1.22,0.54,0.55,0.18,1.06,0.42,0.39,0.25,0.34,0.28,0.22
f_1,1.6,0.17,1.64,1.65,1.49,1.84,0.3,0.64,0.34,0.32,1.21,0.27,0.18,0.31,0.27,0.33
d_1,1.99,1.4,0.16,2.2,2.16,1.92,0.44,0.28,1.32,0.29,0.28,0.31,0.28,0.41,0.27,0.14
e_1,1.61,0.94,2.25,0.16,1.64,1.9,0.52,0.49,0.31,0.37,0.37,0.33,0.25,2.73,0.33,0.24
b_1,0.83,1.98,1.73,1.64,0.14,1.89,0.66,0.58,0.42,0.47,0.29,2.14,0.22,0.28,0.43,0.25
a_1,2.78,2.64,2.0,1.66,0.76,0.09,0.39,0.55,0.36,0.39,0.26,0.44,0.23,0.4,1.5,0.28
h_1,0.86,0.91,0.84,1.09,0.84,0.98,0.07,0.25,0.27,0.19,0.2,0.22,0.46,0.13,0.17,0.16
g_1,1.05,0.91,0.83,0.98,1.14,0.86,0.23,0.06,0.2,0.17,0.22,0.16,0.09,0.21,0.24,0.32
d_0,1.0,1.3,2.34,0.42,0.91,0.85,0.33,0.29,0.08,0.2,0.26,0.15,0.13,0.23,0.22,0.15
c_0,3.41,1.04,0.43,0.99,1.04,0.91,0.26,0.25,0.24,0.07,0.17,0.17,0.16,0.23,0.25,0.14
f_0,0.86,3.53,0.81,0.88,0.88,0.97,0.24,0.15,0.22,0.16,0.06,0.19,0.15,0.19,0.27,0.1
b_0,1.21,0.81,0.67,0.85,3.01,1.19,0.25,0.27,0.18,0.09,0.15,0.06,0.13,0.17,0.34,0.12
h_0,0.9,0.96,0.92,0.73,1.01,0.94,0.77,0.29,0.21,0.19,0.23,0.16,0.28,0.17,0.2,0.13
e_0,0.88,1.82,0.66,,0.92,0.61,0.29,0.18,0.21,0.15,0.09,0.16,0.17,0.04,0.19,0.15
a_0,1.07,0.86,0.82,0.95,0.95,,0.26,0.23,0.2,0.15,0.19,0.09,0.11,0.16,0.04,0.13
g_0,1.01,1.11,0.84,0.71,1.12,0.83,0.21,0.52,0.21,0.14,0.18,0.17,0.1,0.18,0.15,0.3
