,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.5,1.27,1.32,1.82,3.6,17.17,30.84,39.18,39.37,43.18,52.8,70.51,84.38,121.38,141.34
e_1,0.67,1.0,1.15,1.28,1.56,3.52,19.64,46.07,37.29,40.27,36.4,59.79,68.82,75.69,195.72,121.51
c_1,0.79,0.87,1.0,1.17,1.94,2.7,13.93,17.22,23.12,18.96,31.75,47.12,62.52,57.72,73.13,87.67
d_1,0.76,0.78,0.85,1.0,1.19,2.46,13.07,23.26,21.57,30.46,32.15,38.49,61.15,62.36,55.95,78.72
b_1,0.55,0.64,0.52,0.84,1.0,2.62,12.91,16.97,18.44,17.51,17.59,33.0,47.46,39.22,49.93,78.58
a_1,0.28,0.28,0.37,0.41,0.38,1.0,6.42,9.64,12.11,11.36,12.52,21.43,20.92,31.61,34.24,26.44
h_1,0.06,0.05,0.07,0.07,0.08,0.15,1.0,1.63,2.23,1.77,2.27,2.81,3.85,4.26,6.01,6.06
d_0,0.03,0.02,0.06,0.04,0.06,0.1,0.64,1.0,1.28,1.12,1.4,1.84,2.97,2.42,3.72,3.57
g_1,0.03,0.03,0.04,0.05,0.06,0.09,0.46,0.81,1.0,0.9,1.46,2.19,1.97,2.74,3.17,3.15
c_0,0.03,0.03,0.05,0.03,0.06,0.09,0.52,0.94,1.14,1.0,1.81,1.63,2.61,2.27,3.08,3.46
b_0,0.02,0.03,0.03,0.03,0.06,0.08,0.46,0.74,0.67,0.55,1.0,1.32,1.86,3.04,3.1,3.03
f_0,0.02,0.02,0.02,0.03,0.03,0.04,0.36,0.54,0.44,0.63,0.74,1.0,1.45,1.66,3.11,1.46
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.25,0.35,0.5,0.37,0.56,0.7,1.0,0.95,1.36,1.77
a_0,0.01,0.01,0.02,0.02,0.02,,0.25,0.4,0.36,0.44,0.31,0.63,1.05,1.0,1.33,1.67
e_0,0.01,,0.01,0.02,0.02,0.03,0.17,0.26,0.34,0.33,0.33,0.34,0.77,0.73,1.01,0.71
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.16,0.27,0.32,0.3,0.34,0.65,0.55,0.61,1.29,1.0
