,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.45,16.97,28.16,34.76,38.0,29.38,9.58,10.85,7.09,6.06,8.51,6.12,4.96,5.07,9.69,
f_1,31.04,0.45,37.59,34.3,29.6,32.77,6.55,8.37,6.18,8.86,5.76,,2.92,5.4,9.56,6.72
d_1,35.1,43.0,0.43,28.87,35.95,60.22,9.07,5.83,,7.16,8.4,6.16,5.15,2.23,6.42,10.2
c_1,33.64,38.53,43.01,0.42,33.12,30.88,11.88,9.01,4.82,,5.59,6.26,5.41,5.53,5.26,6.33
b_1,34.71,37.89,38.32,24.14,0.4,32.28,9.01,13.38,5.69,11.32,,8.54,4.4,4.5,9.26,8.2
a_1,50.06,53.88,58.81,41.32,30.67,0.33,14.75,15.17,9.32,10.36,9.9,9.17,6.45,5.23,,
h_1,13.08,19.11,19.76,14.55,19.88,16.22,0.38,3.79,3.76,2.82,2.85,4.7,,3.04,3.9,3.51
g_1,25.06,17.43,24.39,16.93,21.46,18.38,4.98,0.34,5.07,3.0,4.02,3.5,2.61,,5.34,3.5
d_0,9.18,14.83,,15.88,15.37,12.68,4.25,4.68,0.5,2.99,2.67,4.59,1.62,2.46,2.93,2.94
c_0,21.93,12.27,7.79,,13.72,22.33,5.04,5.29,3.67,0.47,3.8,3.31,2.76,3.11,1.91,
b_0,16.99,16.54,16.22,27.66,,22.08,4.18,6.37,3.16,1.79,0.46,3.99,2.44,2.24,2.55,4.42
f_0,19.3,,16.13,20.32,19.36,20.38,3.58,2.9,3.87,2.92,3.63,0.45,2.42,1.46,4.61,
h_0,13.72,13.0,11.95,10.95,9.05,15.34,,3.86,2.0,3.76,2.4,2.09,,2.03,1.65,2.76
g_0,18.54,18.84,16.6,16.03,14.61,12.36,2.87,,2.59,2.19,2.62,2.39,1.57,,,2.34
a_0,29.54,39.22,15.25,19.16,26.85,,5.03,5.54,3.93,4.12,2.72,3.86,2.58,,0.39,
e_0,,22.17,25.82,34.02,26.22,,5.16,5.41,5.37,,4.36,,2.19,3.15,,0.34
