,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,93.32,54.29,49.22,48.07,71.5,174.68,6384.38,9712.18,15859.99,13264.27,18062.35,11810.11,46941.68,62919.66,81173.62,153580.27
e_1,24.81,99.13,58.32,55.02,56.89,213.33,6814.42,14387.3,12238.69,12240.91,26257.96,30552.48,64185.96,53514.82,102883.6,155966.62
c_1,27.09,23.13,141.66,46.01,103.25,171.48,5851.08,6771.31,5461.05,11137.59,14698.67,23237.14,52258.76,90114.81,70462.49,119699.63
d_1,31.94,28.34,33.43,152.94,60.58,135.45,4735.58,3291.03,18272.71,9718.72,19169.75,24221.92,58813.29,70901.93,83029.09,114148.96
b_1,22.96,21.57,34.37,43.29,194.08,276.67,4803.92,6698.23,10322.54,9208.34,5892.31,21120.84,44458.8,74268.57,54138.93,95759.19
a_1,16.39,14.55,24.2,31.05,35.58,450.58,4246.84,5828.14,9128.74,10230.94,14254.35,16237.72,29064.66,48367.38,,81873.32
h_1,11.03,7.96,11.64,17.51,19.98,46.15,3627.16,2387.48,3495.03,4834.53,6290.22,7622.17,11503.14,29180.31,25213.98,55516.25
d_0,7.33,7.2,22.04,9.05,18.92,41.38,1385.96,3817.68,3947.22,3447.61,6495.56,7844.94,16352.29,28237.01,22400.9,39934.1
c_0,6.36,8.36,8.14,11.23,15.72,42.39,1805.7,1920.33,5595.35,3248.61,8687.32,7452.96,13423.23,18579.14,22752.72,38667.22
g_1,6.04,6.37,12.7,17.07,14.16,35.08,1057.82,1827.3,3149.54,6708.19,4566.96,9184.95,11475.64,23525.74,19116.63,11316.92
b_0,7.27,5.89,11.97,9.86,8.37,22.89,1382.76,1772.6,2640.9,2801.94,8089.14,5330.44,12187.07,21886.06,34210.04,30098.74
f_0,3.82,5.28,10.73,11.74,12.35,30.31,1324.47,1692.41,2376.76,2169.58,4364.46,9327.21,9650.63,35039.93,17759.78,23520.8
h_0,6.29,4.14,7.9,7.93,9.43,30.91,459.54,1538.45,2500.37,2514.21,3696.76,3940.03,5997.65,12583.64,15153.0,30266.42
e_0,4.63,1.75,5.95,8.91,8.9,23.98,813.19,1224.89,1970.43,1533.48,2182.01,3308.72,6919.84,23301.94,14561.28,22159.92
a_0,4.43,3.64,6.97,7.46,9.21,,771.71,1320.3,2014.09,1497.51,2321.34,3249.47,7132.7,12858.54,24639.38,20735.03
g_0,2.85,3.0,5.66,9.2,7.53,21.27,562.43,989.15,1691.1,,2572.31,4095.47,4949.81,9218.88,9256.25,
