,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.15,88.5,81.63,68.0,93.06,130.13,19.18,40.24,15.14,18.89,16.74,,9.21,18.12,14.57,12.36
d_1,93.21,1.15,159.38,81.95,82.43,88.73,27.7,13.96,15.86,,18.31,17.03,10.05,18.12,17.74,8.24
e_1,45.41,136.15,1.15,118.37,84.85,,24.93,29.74,21.48,18.89,17.76,23.42,11.63,15.0,,12.36
c_1,82.37,136.15,95.63,1.15,90.16,81.33,22.67,22.8,,11.02,27.9,17.56,17.68,17.4,25.5,14.42
b_1,86.39,118.0,111.57,54.17,1.15,88.73,39.37,29.74,30.27,22.79,,20.81,13.81,31.07,29.14,15.73
a_1,236.13,160.91,,245.85,77.97,1.15,44.0,38.0,51.23,23.61,34.47,37.47,21.05,,27.2,
h_1,114.26,76.96,133.88,99.88,120.21,84.87,2.0,42.75,20.81,17.39,16.28,40.14,,24.17,18.55,20.35
g_1,236.13,110.62,139.46,122.92,144.25,114.82,24.13,2.0,22.2,24.48,24.42,26.76,11.95,24.17,20.4,
c_0,107.33,49.17,98.44,,125.43,97.6,20.78,28.5,2.95,23.61,18.9,21.62,14.26,17.4,16.32,10.81
d_0,114.26,,47.14,103.1,106.85,139.43,29.92,21.38,18.5,2.96,21.7,14.41,11.33,29.0,13.6,16.48
b_0,101.2,93.16,133.88,118.37,,139.43,34.0,31.09,15.49,15.02,2.94,20.07,16.37,36.25,20.4,11.53
f_0,,104.12,85.82,114.14,151.84,78.08,28.77,21.38,16.65,22.79,32.56,3.12,15.24,27.19,37.09,9.61
h_0,88.55,93.16,90.46,96.85,96.17,62.97,,26.31,17.08,21.32,14.29,16.06,,20.71,20.4,17.3
a_0,161.0,153.91,145.52,177.56,137.38,,39.37,45.6,31.71,33.05,15.84,28.1,36.83,2.69,,24.71
e_0,168.67,141.6,,213.07,144.25,150.15,49.87,45.6,37.0,44.07,39.07,13.38,23.26,,2.89,20.35
g_0,122.14,186.32,123.96,103.1,93.06,,21.37,,22.97,34.79,29.3,21.62,11.05,29.0,29.14,
