,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.44,1.09,1.19,1.05,1.0,0.88,0.23,0.35,0.25,0.24,0.23,0.3,0.13,0.23,0.18,0.23
e_1,0.66,0.43,1.31,1.14,1.54,1.23,0.35,0.39,0.3,0.24,0.25,0.38,0.2,0.24,0.19,0.45
c_1,1.2,0.97,0.42,1.58,1.03,1.18,0.39,0.36,0.14,0.33,0.27,0.25,0.16,0.22,0.19,0.26
d_1,1.25,1.31,1.39,0.4,1.28,1.19,0.3,0.21,0.39,0.22,0.2,0.22,0.15,0.23,0.1,0.22
b_1,1.86,1.27,0.72,1.59,0.38,1.25,0.44,0.43,0.29,0.41,0.57,0.29,0.2,0.34,0.23,0.22
a_1,1.82,1.7,1.59,1.57,0.89,0.31,0.49,0.55,0.46,0.35,0.38,0.5,0.3,0.58,0.27,0.36
h_1,2.23,2.12,2.15,2.12,2.02,1.96,0.3,0.64,0.47,0.48,0.47,0.47,0.44,0.39,0.32,0.46
g_1,2.55,2.59,2.37,2.1,2.34,2.35,0.56,0.28,0.49,0.45,0.47,0.44,0.25,0.49,0.37,0.44
d_0,2.23,1.44,2.54,3.65,2.59,2.25,0.79,0.72,0.33,0.46,0.56,0.56,0.38,0.55,0.44,0.57
c_0,2.61,2.76,4.6,1.4,2.76,2.36,0.72,0.74,0.79,0.32,0.47,0.52,0.4,0.68,0.38,0.61
b_0,2.75,2.65,4.14,2.09,4.18,2.75,0.72,0.59,0.6,0.26,0.3,0.45,0.35,0.45,0.3,0.43
f_0,4.03,2.92,2.73,2.2,2.84,2.8,0.84,0.48,0.58,0.48,0.54,0.29,0.39,0.51,0.23,0.52
h_0,3.13,2.76,2.89,2.51,2.67,2.43,0.9,0.72,0.6,0.49,0.55,0.48,0.57,0.57,0.38,0.51
a_0,2.86,2.86,3.3,3.07,4.92,4.37,0.81,0.65,0.61,0.44,0.32,0.56,0.41,0.28,0.39,0.56
g_0,3.75,3.4,3.48,2.88,3.27,2.98,0.75,1.1,0.74,0.56,0.58,0.64,0.39,0.65,0.59,0.65
e_0,4.89,3.89,3.51,2.93,3.83,4.5,1.12,0.69,0.67,0.53,0.63,0.31,0.47,0.52,0.36,0.24
