,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.93,0.52,0.26,0.27,0.21,0.16,0.17,0.18,0.17,0.13,0.17,0.09,0.16,0.13,0.12,0.09
e_1,0.25,0.94,0.26,0.3,0.28,0.22,0.16,0.16,0.32,0.19,0.17,0.16,0.14,0.12,0.14,0.04
d_1,0.35,0.25,0.94,0.24,0.23,0.19,0.22,0.17,0.1,0.28,0.2,0.17,0.19,0.12,0.12,0.12
c_1,0.31,0.31,0.28,0.93,0.38,0.21,0.21,0.16,0.15,0.08,0.13,0.18,0.16,0.15,0.13,0.1
b_1,0.36,0.31,0.28,0.28,0.93,0.31,0.24,0.16,0.18,0.19,0.07,0.14,0.22,0.09,0.17,0.13
a_1,0.42,0.29,0.38,0.27,0.26,0.93,0.24,0.2,0.2,0.19,0.21,0.2,0.25,0.1,0.13,0.12
h_1,0.81,0.61,0.5,0.5,0.36,0.29,0.72,0.35,0.35,0.34,0.34,0.23,0.2,0.24,0.39,0.23
g_1,0.56,0.5,0.74,0.56,0.44,0.34,0.37,0.72,0.35,0.31,0.31,0.43,0.27,0.27,0.17,0.19
d_0,0.74,0.43,0.32,0.95,0.48,0.38,0.36,0.28,0.61,0.31,0.37,0.29,0.28,0.19,0.26,0.3
c_0,0.84,0.54,0.57,0.37,0.4,0.37,0.43,0.33,0.41,0.61,0.62,0.27,0.42,0.32,0.36,0.29
b_0,0.77,0.55,0.63,0.68,0.31,0.37,0.42,0.4,0.38,0.31,0.62,0.28,0.35,0.41,0.32,0.28
f_0,0.28,0.57,0.75,0.59,0.55,0.42,0.47,0.31,0.49,0.52,0.39,0.62,0.35,0.29,0.34,0.43
h_0,0.89,0.68,0.63,0.65,0.5,0.34,0.27,0.46,0.42,0.35,0.38,0.32,0.19,0.28,0.36,0.23
a_0,0.83,0.59,0.72,0.55,0.63,0.23,0.49,0.33,0.47,0.34,0.37,0.4,0.43,0.6,0.36,0.35
g_0,0.73,0.62,1.08,0.66,0.48,0.48,0.3,0.23,0.45,0.34,0.41,0.43,0.34,0.28,0.24,0.26
e_0,1.05,0.37,0.72,0.72,0.52,0.37,0.44,0.43,0.43,0.43,0.44,0.3,0.46,0.35,0.36,0.59
