,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.9,0.28,0.15,0.25,0.16,0.12,0.2,0.36,0.15,0.16,0.19,0.16,0.17,0.13,0.08,0.17
f_1,0.4,0.89,0.19,0.21,0.15,0.12,0.15,0.21,0.15,0.18,0.17,0.07,0.18,0.1,0.09,0.13
d_1,0.21,0.26,0.9,0.15,0.21,0.13,0.2,0.1,0.16,0.36,0.2,0.18,0.24,0.12,0.14,0.16
c_1,0.2,0.2,0.23,0.89,0.3,0.11,0.19,0.19,0.15,0.09,0.14,0.19,0.22,0.12,0.12,0.14
b_1,0.21,0.2,0.24,0.21,0.89,0.23,0.17,0.19,0.14,0.16,0.08,0.15,0.17,0.09,0.12,0.17
a_1,0.21,0.23,0.25,0.21,0.18,0.88,0.2,0.24,0.17,0.17,0.2,0.17,0.21,0.06,0.1,0.16
h_1,0.28,0.42,0.27,0.21,0.16,0.13,0.58,0.23,0.24,0.18,0.23,0.2,0.17,0.17,0.12,0.25
d_0,0.3,0.29,0.14,0.49,0.18,0.15,0.24,0.44,0.18,0.15,0.21,0.2,0.23,0.11,0.14,0.21
g_1,0.23,0.24,0.38,0.23,0.24,0.13,0.24,0.24,0.56,0.19,0.19,0.33,0.24,0.15,0.13,0.12
c_0,0.29,0.31,0.3,0.16,0.17,0.13,0.27,0.25,0.18,0.47,0.41,0.23,0.25,0.17,0.16,0.21
b_0,0.29,0.34,0.28,0.29,0.11,0.13,0.24,0.27,0.2,0.2,0.42,0.21,0.28,0.32,0.16,0.22
f_0,0.25,0.18,0.33,0.26,0.24,0.13,0.32,0.24,0.2,0.21,0.28,0.45,0.23,0.17,0.31,0.23
h_0,0.21,0.37,0.26,0.24,0.24,0.15,0.16,0.24,0.24,0.24,0.25,0.23,0.17,0.14,0.15,0.25
a_0,0.26,0.31,0.31,0.27,0.17,0.12,0.29,0.25,0.23,0.24,0.23,0.2,0.3,0.4,0.19,0.2
e_0,0.15,0.33,0.26,0.3,0.21,0.16,0.34,0.27,0.2,0.23,0.26,0.2,0.31,0.16,0.38,0.24
g_0,0.22,0.2,0.4,0.29,0.21,0.15,0.27,0.21,0.09,0.21,0.26,0.35,0.23,0.13,0.16,0.17
