,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.24,0.94,0.93,0.91,0.72,0.61,0.66,0.68,0.58,0.59,0.6,0.51,0.53,0.44,0.58
e_1,0.81,1.0,1.22,0.92,0.97,0.78,0.73,0.82,0.9,0.66,0.66,0.72,0.6,0.56,0.6,0.65
c_1,1.03,0.84,1.0,1.17,1.23,0.88,0.72,0.66,0.48,0.51,0.53,0.57,0.62,0.56,0.58,0.56
d_1,1.06,1.09,0.86,1.0,1.01,0.77,0.71,0.53,0.62,0.85,0.74,0.64,0.62,0.66,0.63,0.48
b_1,1.11,1.03,0.83,0.97,1.0,1.35,0.77,0.74,0.71,0.82,0.65,0.69,0.63,0.6,0.64,0.62
a_1,1.44,1.26,1.14,1.28,0.75,1.0,0.97,0.8,0.74,0.72,0.86,0.66,0.72,0.64,0.6,0.58
h_1,1.62,1.32,1.38,1.45,1.25,1.01,1.0,1.1,0.88,0.88,0.9,0.77,0.94,0.79,0.78,1.04
g_1,1.54,1.26,1.49,1.89,1.32,1.28,0.93,1.0,0.93,0.96,0.95,1.13,0.79,1.02,0.95,0.81
d_0,1.5,1.1,2.21,1.5,1.52,1.24,1.08,1.07,1.0,0.8,0.98,0.9,1.02,0.89,0.91,1.04
c_0,1.68,1.55,1.85,1.2,1.26,1.35,1.18,1.01,1.2,1.0,1.34,0.95,0.97,1.02,1.03,0.82
b_0,1.72,1.5,1.93,1.36,1.39,1.23,1.16,1.05,1.0,0.75,1.0,0.96,1.04,1.19,0.91,0.97
f_0,1.69,1.38,1.81,1.5,1.51,1.43,1.28,0.9,1.08,1.0,0.97,1.0,0.97,0.83,1.29,0.81
h_0,1.95,1.76,1.63,1.62,1.59,1.37,1.05,1.3,0.97,1.02,0.94,1.04,1.0,0.91,0.8,1.06
a_0,1.84,1.8,1.71,1.49,1.64,1.55,1.28,0.98,1.01,1.04,0.83,1.2,1.05,1.0,0.9,0.97
e_0,2.21,1.63,1.71,1.59,1.7,1.59,1.29,1.12,1.15,1.02,1.11,0.83,1.28,1.16,1.0,1.0
g_0,1.69,1.55,1.72,2.03,1.69,1.63,1.03,1.27,0.95,1.17,1.07,1.25,0.94,1.01,0.98,1.0
