,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,36.92,0.06,0.08,0.07,0.07,0.05,0.25,0.69,0.35,0.26,0.27,0.31,0.58,0.33,0.68,
f_1,0.11,39.12,0.06,0.06,0.06,0.07,0.27,0.32,0.46,0.25,0.37,,0.59,0.4,0.57,0.51
d_1,0.05,0.08,39.22,0.08,0.06,0.05,0.37,,0.63,0.2,0.45,0.5,0.56,0.33,0.62,0.23
c_1,0.07,0.07,0.04,42.44,0.11,0.08,0.31,0.44,,0.32,0.24,0.32,0.9,,0.64,0.43
b_1,0.07,0.06,0.08,0.05,47.53,0.11,0.31,0.36,0.37,0.27,,0.37,0.62,0.39,0.54,0.4
a_1,0.06,0.05,0.08,0.06,0.08,71.99,0.31,0.23,0.37,0.24,0.51,0.51,0.51,,0.65,
h_1,0.24,0.34,0.24,0.21,0.25,0.34,27.3,1.59,1.39,1.58,1.32,1.22,,1.29,2.88,1.55
d_0,0.35,0.41,,0.74,0.29,0.42,1.47,17.32,1.37,1.65,2.38,1.98,3.15,1.29,1.85,1.65
c_0,0.28,0.39,0.35,,0.35,0.44,1.39,1.89,16.59,1.82,4.83,1.63,1.99,1.75,2.47,1.88
g_1,0.25,0.3,0.4,0.26,0.24,,1.07,1.7,1.45,33.68,0.97,2.25,1.48,1.05,,1.69
b_0,0.35,0.33,0.3,0.28,,,1.52,1.84,1.91,1.33,19.67,2.15,4.83,3.99,2.53,2.44
f_0,0.36,,0.35,0.38,0.46,0.4,1.84,2.15,1.94,1.28,1.82,21.99,2.5,1.88,2.55,3.99
h_0,0.54,0.88,0.47,0.6,0.36,0.4,,2.66,4.5,2.62,1.71,3.45,,3.12,6.79,2.19
a_0,0.4,0.2,0.29,0.29,0.41,,1.76,1.94,1.58,1.6,1.42,1.89,3.29,31.53,3.0,2.81
g_0,0.4,0.3,1.19,0.45,0.68,0.63,1.9,3.17,2.96,,2.56,4.12,4.27,3.19,,
e_0,,0.33,0.35,0.4,0.49,0.49,1.38,1.34,2.24,1.26,2.48,2.27,3.56,2.43,2.51,31.62
