,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.67,1.38,2.35,2.32,2.02,2.03,0.95,0.97,0.97,0.7,0.7,0.83,0.74,0.57,1.09,0.6
f_1,2.15,0.65,2.27,2.17,1.92,1.74,0.71,0.96,0.77,0.85,0.77,1.39,0.69,0.45,0.6,0.66
c_1,2.01,1.88,0.65,2.47,2.34,2.0,1.23,0.94,0.5,0.75,1.48,0.81,0.68,0.59,0.73,0.69
d_1,2.13,2.39,2.09,0.64,2.35,2.04,0.87,0.66,2.16,0.77,0.93,0.75,0.63,0.56,0.76,0.38
b_1,2.5,2.39,1.49,2.07,0.63,2.73,0.99,1.04,0.76,1.77,0.99,0.64,0.75,0.69,0.85,0.96
a_1,2.17,3.06,2.65,2.5,1.44,0.59,1.46,1.22,1.01,1.24,0.91,1.13,2.04,0.85,0.87,0.71
h_1,2.94,3.72,2.43,2.31,2.46,1.81,0.6,1.34,1.15,0.89,0.83,0.91,1.02,1.37,0.96,0.95
g_1,3.11,2.98,2.81,2.77,3.45,2.47,1.0,0.56,1.09,1.12,1.02,1.15,1.04,0.72,1.03,1.35
d_0,1.9,2.76,3.49,3.48,3.5,2.67,1.38,1.57,0.66,1.33,0.92,1.06,0.98,1.02,1.08,1.03
b_0,3.06,2.78,3.44,2.34,5.69,2.7,1.26,1.31,0.95,0.65,0.66,1.1,1.29,0.92,0.87,0.78
c_0,3.26,2.87,7.2,1.77,2.72,3.57,1.61,1.4,1.38,1.18,0.66,1.17,1.08,1.18,1.12,0.86
f_0,3.4,8.08,2.55,2.8,3.54,3.11,1.52,0.99,1.2,0.95,1.02,0.61,1.1,1.08,1.05,0.61
a_0,3.17,4.11,3.19,3.97,3.85,3.49,1.41,2.22,1.39,0.66,0.95,1.1,0.61,1.02,0.85,0.93
h_0,3.7,3.55,3.35,3.88,2.88,2.79,2.46,1.7,1.1,1.15,1.06,1.19,1.04,2.03,0.84,0.99
e_0,6.24,4.3,3.51,2.94,3.74,3.09,1.18,1.52,1.24,1.29,1.14,0.8,1.43,1.29,0.59,0.99
g_0,3.42,4.21,3.3,4.85,2.86,3.51,1.32,2.47,1.38,1.24,1.3,1.39,1.13,1.01,1.16,1.45
