,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.45,4.2,4.45,4.23,4.05,3.66,0.86,1.36,0.72,0.78,0.81,3.19,0.41,1.0,0.67,1.01
e_1,2.31,0.44,5.01,5.01,4.24,5.16,1.2,1.65,0.82,0.94,1.06,0.93,0.69,0.85,3.72,0.63
d_1,4.67,4.72,0.42,4.63,4.92,4.58,1.26,0.82,0.84,3.96,0.88,0.9,0.61,0.87,0.99,0.34
c_1,4.47,3.97,6.52,0.41,4.3,3.63,1.56,1.42,4.08,0.51,0.99,1.0,0.63,0.71,0.96,0.75
b_1,6.08,4.63,4.38,2.56,0.39,7.09,1.6,1.29,1.38,1.03,5.16,0.87,0.84,0.94,1.08,0.61
a_1,6.27,6.88,8.09,7.57,2.86,0.33,1.35,1.55,1.52,1.15,1.19,1.06,1.38,10.46,1.17,0.87
h_1,4.9,5.42,4.58,4.51,5.89,4.98,0.35,1.39,1.08,1.42,0.88,1.02,2.26,0.88,0.89,0.81
g_1,9.29,6.25,3.95,5.98,5.41,5.9,1.38,0.31,1.22,1.22,1.19,1.26,0.61,1.28,0.88,2.25
c_0,6.52,5.85,2.8,22.5,6.79,4.66,1.8,1.79,0.42,1.39,0.95,0.99,0.92,1.16,0.96,0.8
d_0,5.84,2.94,19.23,5.34,7.68,4.46,1.69,2.03,1.46,0.47,1.24,1.14,0.89,1.25,0.96,1.07
b_0,5.63,5.7,5.28,6.71,16.41,4.83,1.77,1.64,0.62,1.03,0.41,1.17,0.81,1.14,1.03,0.86
f_0,24.99,6.22,4.46,6.96,5.85,5.62,1.96,1.17,1.32,1.32,1.34,0.38,0.99,1.07,0.93,0.61
h_0,7.9,6.81,6.04,7.06,10.01,5.45,4.39,1.55,1.75,1.14,1.3,1.11,2.06,1.21,1.25,1.33
a_0,7.75,6.99,6.56,6.58,8.79,,2.33,2.05,1.24,1.33,0.63,1.82,0.97,0.37,1.36,1.28
e_0,8.07,20.19,6.23,6.87,8.45,8.25,2.5,2.65,1.73,1.55,1.36,1.02,0.73,1.39,0.33,1.23
g_0,8.51,9.7,6.69,8.54,9.09,11.0,1.73,,1.46,1.62,1.64,1.41,0.81,1.64,1.6,2.82
