,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.66,1.65,1.41,1.46,1.32,1.16,0.56,0.41,0.55,0.79,0.51,0.44,0.42,0.32,0.44,0.38
e_1,1.35,0.66,0.89,1.66,1.41,1.27,0.88,0.8,0.54,0.68,0.61,0.54,0.45,0.44,0.54,0.86
f_1,1.42,1.65,0.66,1.36,1.21,1.29,0.53,0.61,0.45,0.46,0.5,0.73,0.32,0.39,0.44,0.48
c_1,1.72,1.21,1.47,0.64,1.68,1.29,0.75,0.74,0.8,0.34,0.41,0.45,0.42,0.5,0.43,0.54
b_1,1.52,1.54,1.97,0.96,0.62,1.74,0.6,0.64,0.7,0.66,0.92,0.61,0.48,0.51,0.47,0.46
a_1,1.97,1.69,1.93,1.97,1.03,0.57,0.95,0.8,0.71,0.74,0.89,0.77,0.66,0.48,1.85,0.65
h_1,2.16,1.84,2.22,1.99,2.44,1.98,0.57,1.14,0.77,0.72,0.77,0.76,0.83,0.69,0.77,0.79
g_1,2.66,2.16,2.61,2.15,2.55,2.2,0.78,0.55,0.82,0.8,0.81,0.89,0.51,0.85,0.83,0.76
c_0,1.48,2.26,2.83,3.98,2.46,1.95,1.02,1.2,0.62,1.12,1.04,0.79,0.79,0.68,0.94,0.78
d_0,2.85,1.46,2.65,2.85,2.55,2.09,1.13,1.65,0.83,0.62,0.78,0.84,0.76,0.72,0.92,0.86
b_0,2.09,2.1,2.56,4.0,3.08,2.02,1.19,1.13,0.53,1.03,0.6,0.82,0.69,0.66,1.32,0.76
f_0,2.45,2.36,3.28,3.22,2.58,2.14,1.23,0.94,1.03,1.02,1.01,0.6,0.85,0.51,0.91,1.08
h_0,2.49,2.82,3.33,2.66,2.61,2.17,1.72,1.45,0.88,0.97,1.0,0.89,1.06,0.9,0.72,0.88
g_0,2.76,2.93,3.4,2.86,2.7,3.17,0.97,1.75,1.01,1.04,1.06,1.14,0.67,1.01,1.07,1.11
a_0,2.91,2.79,3.24,3.04,4.17,3.03,1.2,1.12,0.91,1.07,0.55,0.96,1.19,0.75,0.56,0.95
e_0,3.16,3.61,3.51,2.54,3.07,2.55,1.24,1.19,1.04,1.08,1.12,0.69,0.83,0.75,1.08,0.56
