,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.04,1.13,1.53,1.67,1.48,1.32,0.56,0.53,0.6,0.45,0.42,0.51,0.38,0.42,0.48,0.37
f_1,1.58,1.04,1.41,1.59,1.48,1.22,0.43,0.47,0.57,0.4,0.41,0.46,0.28,0.35,0.31,0.38
d_1,1.86,1.84,1.04,1.56,1.49,1.2,0.57,0.58,0.44,0.53,0.48,0.43,0.36,0.41,0.4,0.28
c_1,1.42,1.64,1.93,1.04,1.66,1.4,0.69,0.34,0.6,0.57,0.41,0.47,0.39,0.43,0.4,0.34
b_1,1.95,1.97,1.79,1.29,1.05,1.79,0.81,0.6,0.6,0.67,0.67,0.52,0.42,0.47,0.44,0.42
a_1,2.46,2.5,2.38,2.49,1.51,1.06,1.02,0.86,0.96,0.76,0.9,0.77,0.6,0.71,0.67,0.53
h_1,4.32,5.12,4.01,4.32,4.09,3.34,1.23,1.23,1.42,1.12,1.15,1.04,1.06,1.01,0.98,0.89
d_0,3.71,4.99,5.82,5.98,5.01,3.93,2.07,1.33,1.98,1.38,1.42,1.48,1.27,1.28,1.29,1.28
g_1,4.96,4.98,5.06,5.19,5.47,3.81,1.77,1.6,1.26,1.5,1.5,1.54,0.98,1.27,1.29,1.27
c_0,5.99,5.91,4.01,6.68,5.03,4.41,2.42,2.13,1.85,1.34,1.93,1.59,1.22,1.48,1.58,1.17
b_0,5.63,6.2,5.17,6.8,6.0,4.4,2.19,1.81,2.21,1.16,1.36,1.52,1.29,1.75,1.43,1.12
f_0,5.99,6.95,5.9,5.84,5.51,4.53,2.59,1.95,1.61,1.61,1.74,1.38,1.35,1.59,1.95,1.02
h_0,7.23,7.85,6.66,6.43,6.61,5.1,2.75,2.05,2.59,2.08,1.91,1.92,1.77,1.55,1.52,1.53
a_0,7.75,8.32,7.19,8.12,7.82,7.15,2.98,2.79,2.77,2.02,1.4,2.29,1.77,1.44,1.87,1.81
e_0,8.31,11.11,7.29,7.59,7.06,6.42,3.12,2.59,2.45,2.19,2.22,1.42,2.02,1.92,1.5,1.63
g_0,7.77,8.2,8.46,8.39,7.36,6.3,2.78,2.27,2.84,2.35,2.4,2.41,1.59,1.99,1.9,1.77
