,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.16,0.43,0.37,0.53,0.42,0.41,0.1,0.13,0.09,0.1,0.08,0.12,0.08,0.05,0.08,0.07
e_1,0.27,0.16,0.49,0.46,0.55,0.44,0.14,0.16,0.11,0.1,0.1,0.11,0.11,0.07,0.19,0.08
d_1,0.46,0.6,0.15,0.45,0.42,0.39,0.1,0.09,0.08,0.17,0.08,0.08,0.08,0.06,0.08,0.04
c_1,0.48,0.38,0.53,0.15,0.45,0.39,0.14,0.12,0.14,0.06,0.1,0.09,0.09,0.07,0.08,0.07
b_1,0.52,0.44,0.51,0.25,0.14,0.48,0.15,0.16,0.15,0.09,0.17,0.09,0.09,0.09,0.12,0.07
a_1,0.45,0.46,0.44,0.49,0.25,0.1,0.16,0.15,0.1,0.12,0.13,0.1,0.17,0.06,0.1,0.07
h_1,0.43,0.36,0.36,0.46,0.42,0.35,0.05,0.14,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.05
g_1,0.45,0.43,0.34,0.51,0.39,0.37,0.09,0.04,0.08,0.08,0.08,0.07,0.07,0.04,0.08,0.06
c_0,0.48,0.44,0.22,0.72,0.38,0.32,0.1,0.13,0.05,0.13,0.09,0.07,0.08,0.06,0.1,0.05
d_0,0.39,0.23,0.63,0.42,0.41,0.42,0.12,0.16,0.09,0.05,0.1,0.08,0.09,0.07,0.08,0.08
b_0,0.39,0.36,0.31,0.63,0.55,0.39,0.11,0.11,0.05,0.09,0.05,0.08,0.07,0.05,0.09,0.05
f_0,0.56,0.37,0.34,0.49,0.37,0.36,0.12,0.07,0.08,0.1,0.07,0.04,0.08,0.06,0.08,0.04
a_0,0.43,0.39,0.33,0.44,0.5,0.48,0.12,0.11,0.07,0.09,0.04,0.08,0.04,0.07,0.08,0.06
h_0,0.43,0.4,0.36,0.45,0.34,0.31,0.14,0.11,0.08,0.09,0.07,0.07,0.07,0.08,0.08,0.06
e_0,0.66,0.52,0.34,0.44,0.36,0.29,0.11,0.09,0.08,0.11,0.08,0.04,0.07,0.05,0.03,0.04
g_0,0.41,0.4,0.38,0.4,0.38,0.32,0.08,0.15,0.08,0.09,0.08,0.09,0.08,0.04,0.07,0.08
