,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.89,0.19,0.19,0.13,0.16,0.1,0.16,0.14,0.33,0.08,0.2,0.15,0.19,0.16,0.1,0.09
e_1,0.16,0.89,0.19,0.21,0.15,0.12,0.17,0.13,0.19,0.31,0.18,0.15,0.16,0.14,0.09,0.04
f_1,0.2,0.36,0.88,0.17,0.11,0.09,0.17,0.1,0.13,0.16,0.14,0.06,0.15,0.11,0.08,0.07
c_1,0.17,0.17,0.2,0.89,0.28,0.09,0.17,0.13,0.06,0.16,0.08,0.1,0.18,0.14,0.1,0.11
b_1,0.2,0.19,0.21,0.17,0.88,0.21,0.13,0.12,0.12,0.15,0.07,0.12,0.16,0.14,0.06,0.09
a_1,0.22,0.21,0.19,0.18,0.15,0.87,0.14,0.12,0.17,0.15,0.15,0.16,0.18,0.11,0.05,0.09
h_1,0.28,0.15,0.29,0.19,0.21,0.11,0.57,0.24,0.23,0.19,0.16,0.15,0.1,0.23,0.12,0.13
g_1,0.43,0.18,0.22,0.18,0.18,0.13,0.18,0.55,0.17,0.12,0.17,0.22,0.17,0.09,0.13,0.12
c_0,0.29,0.26,0.27,0.11,0.14,0.12,0.22,0.19,0.43,0.21,0.38,0.16,0.24,0.19,0.15,0.13
d_0,0.13,0.21,0.27,0.43,0.17,0.1,0.23,0.16,0.14,0.42,0.16,0.18,0.21,0.18,0.12,0.13
b_0,0.28,0.22,0.27,0.25,0.08,0.08,0.2,0.17,0.21,0.26,0.43,0.15,0.23,0.16,0.29,0.11
f_0,0.31,0.23,0.12,0.25,0.17,0.1,0.22,0.17,0.21,0.22,0.2,0.39,0.22,0.18,0.12,0.22
h_0,0.25,0.23,0.36,0.23,0.17,0.09,0.12,0.23,0.2,0.2,0.2,0.14,0.12,0.23,0.09,0.13
g_0,0.37,0.23,0.23,0.2,0.15,0.14,0.19,0.11,0.21,0.19,0.18,0.28,0.19,0.12,0.13,0.13
a_0,0.26,0.2,0.25,0.28,0.22,0.04,0.18,0.18,0.18,0.19,0.16,0.18,0.27,0.17,0.38,0.13
e_0,0.32,0.12,0.27,0.21,0.21,0.1,0.21,0.18,0.22,0.19,0.21,0.16,0.25,0.15,0.14,0.38
