,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.87,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,0.01,,0.01,
e_1,0.01,0.87,0.01,0.01,0.01,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
d_1,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,,0.01,0.01
c_1,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,
b_1,0.01,0.02,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,
a_1,0.01,0.01,0.01,0.01,0.01,0.87,0.01,,0.01,0.01,0.01,0.01,0.01,,0.01,
h_1,0.07,0.04,0.04,0.03,0.04,0.02,0.5,0.05,0.04,0.05,0.03,0.03,,0.02,0.04,0.02
g_1,0.05,0.03,0.06,0.04,0.02,,0.05,0.5,0.04,0.03,0.04,0.04,0.03,0.02,,0.02
c_0,0.06,0.05,0.05,,0.04,0.03,0.07,0.04,0.34,0.03,0.09,0.04,0.06,0.02,0.04,0.03
d_0,0.06,0.07,,0.1,0.04,0.03,0.06,0.03,0.05,0.32,0.04,0.05,0.05,0.02,0.05,0.03
b_0,0.05,0.06,0.06,0.05,,0.02,0.07,0.05,0.04,0.06,0.33,0.04,0.05,0.06,0.05,0.03
f_0,,0.04,0.06,0.05,0.05,0.03,0.05,0.04,0.06,0.05,0.05,0.34,0.05,0.04,0.03,0.06
h_0,0.12,0.09,0.07,0.08,0.05,0.04,,0.07,0.08,0.07,0.08,0.08,,0.04,0.1,0.04
a_0,0.08,0.05,0.06,0.04,0.03,,0.06,0.04,0.04,0.06,0.04,0.05,0.04,0.34,0.04,0.04
g_0,0.07,0.08,0.12,0.07,0.04,0.06,0.06,,0.1,0.08,0.08,0.1,0.08,0.05,,
e_0,0.07,,0.05,0.05,0.06,,0.05,0.04,0.05,0.06,0.05,0.04,0.07,0.04,,0.33
