,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.41,1.01,0.99,1.48,1.17,0.9,2.26,2.19,2.32,4.26,2.93,2.87,3.28,2.02,3.5,2.93
f_1,1.72,2.42,1.05,1.03,0.97,1.08,1.82,2.15,2.41,2.31,1.4,2.51,2.91,2.02,2.79,2.22
d_1,1.11,1.27,2.52,1.03,1.09,1.12,2.15,1.91,3.86,1.57,2.41,2.71,3.19,2.47,2.71,2.12
c_1,0.92,1.26,1.11,2.6,1.84,1.15,2.18,2.1,1.2,2.01,2.19,1.98,3.11,2.24,3.06,2.42
b_1,1.07,1.16,1.1,0.93,2.83,1.83,2.42,2.48,2.48,2.32,2.67,1.33,2.93,2.99,2.9,2.59
a_1,1.24,1.12,1.33,1.12,0.99,3.18,2.42,2.16,2.57,2.17,2.48,2.33,3.05,2.42,3.06,1.42
h_1,1.08,1.7,1.29,1.27,1.01,1.02,4.02,3.11,2.67,2.93,2.55,2.71,2.41,3.11,3.67,2.52
g_1,1.24,1.18,1.69,1.2,0.98,1.31,2.2,4.42,2.57,2.46,3.74,2.82,2.56,2.49,2.4,2.94
c_0,1.37,1.27,1.28,0.95,1.09,1.27,2.37,2.56,3.89,2.99,3.12,4.37,3.31,3.16,3.51,3.69
d_0,1.09,1.4,0.86,2.2,1.34,1.29,2.1,2.31,2.04,3.89,2.86,2.49,3.31,2.64,3.62,2.84
f_0,1.08,1.08,1.31,1.61,1.34,1.15,2.73,2.02,2.58,3.04,4.26,2.96,3.16,5.16,3.33,2.79
b_0,1.15,1.19,1.53,1.44,0.96,1.01,2.47,2.49,2.47,2.88,2.92,4.35,3.74,3.48,3.8,5.76
h_0,1.2,1.43,1.33,1.31,1.19,1.25,1.89,3.18,2.6,2.78,2.56,2.69,2.68,2.42,4.23,2.78
e_0,0.74,1.54,1.42,1.51,1.17,1.35,2.48,2.72,2.67,2.42,2.53,2.39,3.78,4.96,2.86,2.61
g_0,1.08,1.08,1.87,1.38,1.17,1.16,2.54,1.89,2.68,2.56,3.91,2.5,3.08,3.69,2.96,2.74
a_0,1.06,1.4,1.56,1.26,1.23,0.91,2.66,2.23,2.05,2.9,3.1,2.28,3.6,2.79,3.73,5.15
