,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.86,0.88,1.07,0.92,0.79,0.73,0.74,0.89,0.65,0.67,0.77,0.61,0.63,0.59,0.66
f_1,1.15,1.0,0.96,0.98,0.88,0.8,0.66,0.73,0.68,0.58,0.61,0.58,0.59,0.51,0.6,0.45
d_1,1.12,1.06,1.0,0.95,0.9,0.84,0.74,0.57,0.63,0.81,0.69,0.6,0.55,0.59,0.47,0.51
c_1,0.94,1.05,1.06,1.0,1.25,0.78,0.69,0.68,0.52,0.6,0.55,0.59,0.61,0.6,0.56,0.55
b_1,1.06,1.11,1.11,0.81,1.0,1.27,0.71,0.72,0.65,0.79,0.7,0.67,0.61,0.67,0.59,0.57
a_1,1.24,1.27,1.19,1.28,0.79,1.0,1.01,0.83,0.82,0.75,0.89,0.73,0.76,0.79,0.71,0.7
h_1,1.41,1.54,1.37,1.41,1.45,0.96,1.0,1.08,0.9,0.91,0.91,0.84,0.83,0.83,0.88,0.77
g_1,1.35,1.34,1.67,1.44,1.31,1.2,0.94,1.0,0.83,0.96,0.89,1.05,0.83,0.81,0.81,0.9
d_0,1.14,1.44,1.6,1.91,1.47,1.22,1.13,1.2,1.0,0.81,0.94,1.02,0.88,0.94,0.89,0.93
c_0,1.48,1.77,1.24,1.66,1.34,1.34,1.07,1.09,1.17,1.0,1.29,1.03,0.99,1.01,0.82,0.83
b_0,1.46,1.64,1.42,1.8,1.43,1.2,1.08,1.12,1.03,0.78,1.0,1.01,1.26,0.96,0.9,0.93
f_0,1.32,1.75,1.72,1.61,1.48,1.34,1.19,0.95,1.0,0.99,0.98,1.0,0.94,1.03,0.72,1.24
a_0,1.66,1.72,1.8,1.64,1.71,1.2,1.19,1.19,1.08,1.0,0.87,1.09,1.0,0.97,1.0,0.97
h_0,1.63,1.98,1.69,1.63,1.52,1.27,1.16,1.2,1.06,0.97,0.99,0.94,1.03,1.0,1.05,0.88
g_0,1.71,1.72,2.11,1.7,1.69,1.47,1.13,1.23,1.12,1.2,1.11,1.32,0.98,0.97,1.0,0.96
e_0,1.59,2.15,1.94,1.81,1.7,1.45,1.29,1.13,1.07,1.22,1.1,0.83,1.03,1.01,1.03,1.0
