,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.07,10.47,9.12,9.32,9.53,8.79,3.11,,2.5,3.44,2.87,2.68,1.55,3.14,1.9,1.37
e_1,8.18,1.07,5.79,8.47,10.06,8.64,4.31,2.76,3.95,2.96,3.54,2.92,2.25,1.89,,2.4
f_1,10.63,12.98,1.07,9.41,8.01,11.69,2.51,2.95,4.25,2.61,,2.86,1.42,2.36,2.0,2.18
c_1,10.77,9.49,9.34,1.07,9.72,10.18,3.33,1.73,3.77,,2.32,2.86,2.59,3.04,,2.9
b_1,11.65,11.56,14.89,7.81,1.07,10.62,4.29,2.54,4.01,4.33,2.47,,2.64,3.87,3.18,2.92
a_1,11.7,13.48,11.68,13.78,8.78,1.07,6.42,3.51,5.31,5.43,4.89,5.07,3.83,,,3.03
h_1,13.89,13.74,14.26,16.8,11.87,12.19,1.41,5.13,7.4,3.59,3.74,3.71,,3.24,4.18,3.18
d_0,,9.66,14.77,17.48,15.46,11.25,5.53,1.76,4.78,4.04,4.13,3.49,2.88,3.62,2.98,3.59
g_1,21.25,15.79,13.88,16.55,16.61,14.57,4.12,6.25,1.41,6.54,4.47,4.72,3.57,,4.11,
c_0,8.92,14.98,14.83,,14.33,11.69,5.68,4.94,4.17,1.71,5.29,6.13,4.18,3.41,3.75,2.95
f_0,15.05,16.38,,16.85,18.32,12.11,7.27,5.37,3.98,4.9,1.76,4.96,3.77,3.58,5.34,2.57
b_0,20.75,15.96,15.84,19.75,,14.21,7.29,5.98,4.76,2.8,4.45,1.72,3.53,7.09,4.86,3.22
h_0,18.15,16.72,21.89,11.65,15.62,13.55,,5.09,5.48,4.27,4.65,4.09,,4.39,3.29,3.26
a_0,17.69,24.46,24.8,24.98,22.39,,7.39,6.85,,8.19,6.51,3.07,5.16,1.75,,4.26
e_0,29.63,,29.58,,17.94,,7.0,6.66,7.41,7.02,3.8,6.59,5.29,,1.75,5.03
g_0,22.75,20.1,19.43,13.66,14.75,16.23,5.79,5.49,,4.39,5.41,6.04,3.66,5.25,4.5,
