,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.88,0.18,0.07,0.07,0.07,0.04,0.07,0.05,0.07,0.08,0.08,0.01,0.08,0.03,0.03,0.04
e_1,0.11,0.88,0.07,0.09,0.07,0.05,0.08,0.05,0.15,0.08,0.07,0.06,0.07,0.05,0.01,0.06
d_1,0.1,0.08,0.88,0.07,0.06,0.04,0.08,0.05,0.02,0.15,0.09,0.07,0.09,0.05,0.05,0.06
c_1,0.09,0.08,0.08,0.88,0.14,0.04,0.07,0.08,0.08,0.01,0.05,0.06,0.08,0.04,0.04,0.05
b_1,0.08,0.09,0.08,0.09,0.87,0.09,0.08,0.05,0.08,0.07,0.02,0.07,0.08,0.04,0.04,0.05
a_1,0.1,0.08,0.1,0.09,0.06,0.87,0.08,0.06,0.09,0.07,0.07,0.06,0.08,0.01,0.05,0.05
h_1,0.23,0.15,0.14,0.13,0.11,0.06,0.53,0.13,0.12,0.16,0.12,0.12,0.05,0.07,0.09,0.13
g_1,0.14,0.09,0.25,0.16,0.15,0.05,0.14,0.52,0.1,0.11,0.13,0.18,0.11,0.08,0.08,0.03
d_0,0.19,0.14,0.05,0.27,0.13,0.09,0.14,0.1,0.36,0.08,0.11,0.13,0.12,0.11,0.07,0.11
c_0,0.2,0.17,0.17,0.06,0.1,0.08,0.14,0.14,0.14,0.37,0.26,0.11,0.16,0.12,0.09,0.12
b_0,0.17,0.19,0.19,0.13,0.04,0.07,0.12,0.12,0.13,0.13,0.4,0.11,0.12,0.23,0.07,0.12
f_0,0.06,0.12,0.18,0.2,0.12,0.08,0.17,0.12,0.16,0.14,0.13,0.37,0.15,0.12,0.18,0.15
h_0,0.23,0.13,0.16,0.12,0.14,0.09,0.05,0.13,0.11,0.09,0.11,0.12,0.06,0.07,0.08,0.14
a_0,0.19,0.15,0.12,0.14,0.15,0.04,0.15,0.1,0.15,0.12,0.15,0.1,0.14,0.34,0.11,0.12
e_0,0.18,0.07,0.14,0.17,0.14,0.09,0.17,0.14,0.13,0.18,0.14,0.14,0.15,0.1,0.36,0.11
g_0,0.15,0.14,0.22,0.15,0.1,0.07,0.11,0.06,0.11,0.12,0.14,0.19,0.15,0.08,0.09,0.05
