,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.65,0.79,1.0,1.07,1.04,0.82,0.76,0.69,0.75,0.55,0.64,0.54,0.73,0.56,
f_1,1.54,1.0,1.07,1.02,1.01,0.78,0.54,0.68,0.53,0.55,0.62,,0.53,0.5,0.69,0.4
d_1,1.26,0.94,1.0,0.85,0.95,0.86,0.77,,0.52,1.0,0.71,0.59,0.64,0.51,0.45,0.49
c_1,1.0,0.98,1.17,1.0,1.26,1.03,0.98,0.49,0.76,,0.5,0.6,0.59,0.67,0.52,0.49
b_1,0.93,0.99,1.06,0.79,1.0,1.12,0.85,0.6,0.68,0.78,,0.7,0.54,0.62,0.66,
a_1,0.96,1.28,1.16,0.97,0.9,1.0,0.72,0.79,,0.8,0.74,0.85,0.86,,0.56,0.69
h_1,1.21,1.86,1.3,1.02,1.18,1.38,1.0,1.08,1.28,0.73,0.7,0.79,,0.83,1.27,0.91
d_0,1.32,1.46,,2.03,1.68,1.27,0.93,1.0,0.75,0.78,1.19,0.86,0.97,0.76,0.72,0.97
g_1,1.46,1.89,1.92,1.32,1.48,,0.78,1.34,1.0,1.12,1.13,1.12,0.69,0.68,,0.9
c_0,1.34,1.8,1.0,,1.29,1.26,1.37,1.29,0.89,1.0,1.29,1.04,1.07,0.75,0.86,0.73
b_0,1.82,1.61,1.4,2.0,,1.34,1.43,0.84,0.88,0.78,1.0,1.27,0.88,1.43,0.73,0.69
f_0,1.55,,1.7,1.68,1.42,1.18,1.27,1.17,0.89,0.96,0.79,1.0,1.27,0.87,0.8,
h_0,1.86,1.88,1.55,1.7,1.85,1.16,,1.04,1.46,0.93,1.13,0.79,,0.91,0.96,1.09
a_0,1.37,2.0,1.97,1.49,1.6,,1.21,1.31,1.46,1.33,0.7,1.15,1.1,1.0,,
g_0,1.79,1.45,2.24,1.91,1.51,1.8,0.79,1.39,,1.17,1.36,1.24,1.04,,,
e_0,,2.52,2.06,2.04,,1.44,1.09,1.03,1.12,1.37,1.44,,0.92,,,1.0
