,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.89,0.37,0.18,0.16,0.14,0.08,0.16,0.13,0.15,0.14,0.05,0.15,0.15,0.06,0.1,0.11
e_1,0.22,0.89,0.18,0.2,0.12,0.09,0.17,0.15,0.14,0.31,0.18,0.19,0.16,0.06,0.1,0.13
d_1,0.21,0.16,0.89,0.13,0.19,0.1,0.17,0.13,0.34,0.06,0.17,0.17,0.15,0.12,0.1,0.12
c_1,0.2,0.18,0.17,0.88,0.29,0.09,0.16,0.13,0.05,0.15,0.14,0.13,0.15,0.09,0.09,0.11
b_1,0.23,0.16,0.23,0.13,0.88,0.17,0.16,0.13,0.14,0.15,0.16,0.07,0.15,0.1,0.08,0.11
a_1,0.24,0.14,0.2,0.18,0.14,0.87,0.2,0.12,0.21,0.14,0.12,0.16,0.16,0.15,0.05,0.13
h_1,0.33,0.21,0.23,0.22,0.18,0.11,0.56,0.19,0.17,0.16,0.19,0.17,0.11,0.1,0.14,0.22
g_1,0.2,0.19,0.37,0.18,0.18,0.1,0.2,0.56,0.16,0.14,0.31,0.19,0.18,0.12,0.12,0.1
c_0,0.26,0.27,0.25,0.12,0.14,0.11,0.2,0.18,0.43,0.21,0.21,0.38,0.21,0.15,0.17,0.19
d_0,0.27,0.23,0.13,0.41,0.17,0.09,0.22,0.16,0.12,0.4,0.16,0.18,0.21,0.14,0.11,0.16
f_0,0.13,0.18,0.3,0.24,0.21,0.11,0.21,0.18,0.22,0.22,0.43,0.21,0.25,0.29,0.15,0.17
b_0,0.25,0.25,0.23,0.22,0.1,0.1,0.24,0.19,0.2,0.22,0.21,0.4,0.25,0.14,0.31,0.17
h_0,0.33,0.27,0.25,0.24,0.13,0.09,0.12,0.23,0.22,0.2,0.18,0.18,0.11,0.11,0.14,0.18
e_0,0.33,0.12,0.27,0.18,0.19,0.13,0.26,0.18,0.21,0.16,0.13,0.19,0.27,0.41,0.16,0.17
a_0,0.28,0.18,0.28,0.2,0.19,0.05,0.25,0.2,0.25,0.17,0.21,0.21,0.22,0.16,0.38,0.22
g_0,0.19,0.21,0.39,0.23,0.17,0.11,0.18,0.12,0.24,0.17,0.29,0.22,0.22,0.16,0.14,0.09
