,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.91,0.37,0.24,0.4,0.25,0.18,0.27,0.24,0.51,0.23,0.26,0.26,0.31,0.19,0.13,0.23
f_1,0.6,0.91,0.26,0.27,0.23,0.16,0.24,0.22,0.34,0.28,0.25,0.15,0.28,0.19,0.1,0.22
d_1,0.31,0.37,0.91,0.25,0.27,0.18,0.26,0.26,0.18,0.48,0.3,0.22,0.32,0.18,0.19,0.22
c_1,0.26,0.31,0.34,0.9,0.52,0.18,0.26,0.22,0.27,0.15,0.16,0.24,0.24,0.19,0.15,0.21
b_1,0.32,0.31,0.34,0.3,0.89,0.38,0.22,0.21,0.26,0.24,0.16,0.26,0.26,0.13,0.15,0.21
a_1,0.34,0.32,0.34,0.35,0.26,0.88,0.3,0.24,0.29,0.22,0.24,0.28,0.32,0.12,0.19,0.22
h_1,0.33,0.47,0.37,0.33,0.3,0.21,0.59,0.35,0.3,0.29,0.29,0.26,0.23,0.19,0.18,0.27
g_1,0.31,0.33,0.51,0.34,0.26,0.2,0.23,0.6,0.25,0.29,0.25,0.45,0.3,0.2,0.27,0.22
d_0,0.36,0.34,0.23,0.65,0.27,0.18,0.29,0.26,0.48,0.19,0.31,0.29,0.31,0.21,0.18,0.25
c_0,0.43,0.38,0.36,0.28,0.22,0.18,0.31,0.27,0.33,0.49,0.51,0.29,0.36,0.25,0.23,0.28
b_0,0.37,0.41,0.4,0.37,0.17,0.13,0.3,0.31,0.31,0.31,0.5,0.33,0.36,0.42,0.21,0.31
f_0,0.35,0.29,0.4,0.38,0.3,0.19,0.3,0.28,0.32,0.28,0.28,0.49,0.38,0.23,0.42,0.29
h_0,0.38,0.52,0.32,0.33,0.27,0.19,0.23,0.34,0.27,0.28,0.29,0.28,0.25,0.24,0.19,0.33
a_0,0.41,0.38,0.36,0.38,0.3,0.14,0.31,0.28,0.33,0.27,0.28,0.29,0.33,0.44,0.2,0.26
e_0,0.27,0.4,0.38,0.41,0.27,0.23,0.35,0.28,0.31,0.32,0.36,0.27,0.32,0.24,0.43,0.25
g_0,0.34,0.3,0.5,0.34,0.26,0.24,0.3,0.22,0.29,0.29,0.31,0.4,0.35,0.21,0.23,0.14
