,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.49,0.72,0.75,0.84,0.66,0.56,0.93,0.8,0.77,1.44,0.87,0.88,0.99,0.77,0.59,0.91
f_1,1.15,1.52,0.71,0.68,0.61,0.62,0.69,0.81,0.63,0.81,0.81,0.5,0.83,0.7,0.52,0.79
d_1,0.76,0.81,1.54,0.62,0.67,0.68,0.9,1.4,0.77,0.65,0.87,0.82,0.94,0.76,0.87,0.75
c_1,0.77,0.77,0.79,1.59,1.11,0.53,0.83,0.57,0.87,0.72,0.84,0.85,0.94,0.63,0.7,0.91
b_1,0.78,0.86,0.79,0.64,1.65,1.12,0.92,0.81,0.67,0.87,0.5,0.85,0.98,0.61,0.76,0.89
a_1,0.88,0.85,0.77,0.88,0.57,1.73,0.99,0.98,0.95,0.82,1.12,1.06,1.2,0.8,0.92,1.07
h_1,0.89,1.33,1.03,0.88,0.85,0.74,1.77,1.06,1.31,1.15,1.18,1.16,0.96,0.99,1.02,1.45
c_0,1.09,1.1,0.94,0.76,0.81,0.8,1.37,1.68,1.18,1.28,1.92,1.22,1.46,1.3,1.07,1.28
g_1,0.93,1.01,1.43,0.89,1.02,0.85,0.99,1.23,1.84,0.98,1.18,1.52,1.01,1.13,0.93,0.86
d_0,0.92,1.08,0.75,1.6,0.96,0.78,1.11,1.06,1.17,1.62,1.25,1.05,1.4,1.03,1.02,1.39
b_0,1.05,1.15,1.23,0.96,0.83,0.6,1.2,1.1,1.1,1.19,1.68,1.16,1.24,2.03,1.05,1.24
f_0,0.83,0.88,1.19,1.19,1.0,0.82,1.23,1.3,1.03,1.39,1.19,1.74,1.39,1.24,1.78,1.18
h_0,1.16,1.37,1.16,1.03,0.95,0.73,0.99,1.12,1.48,1.23,1.37,1.03,1.07,0.99,0.98,1.45
a_0,1.07,1.17,1.25,1.23,1.0,0.49,1.36,1.33,1.09,1.45,0.94,1.16,1.62,1.81,1.11,1.27
e_0,0.77,1.51,0.94,1.11,0.89,0.92,1.41,1.48,1.29,1.28,1.47,1.2,1.59,1.28,1.82,1.32
g_0,0.98,1.05,1.55,1.09,0.93,0.78,1.04,1.31,1.0,1.11,1.33,1.65,1.27,1.11,1.09,1.11
