,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,14.14,1.37,0.53,0.54,0.37,0.56,0.87,0.79,0.79,0.8,0.93,0.35,0.8,0.9,0.84,0.57
e_1,0.59,15.35,0.73,0.48,0.57,0.52,0.9,0.74,2.02,1.0,0.96,0.99,0.97,1.04,0.84,0.62
c_1,0.48,0.48,16.74,0.51,1.47,0.51,0.86,0.84,0.85,0.32,0.56,0.91,0.96,0.74,0.82,1.03
d_1,0.64,0.5,0.41,19.0,0.48,0.61,0.96,0.95,0.34,2.14,1.21,1.27,0.87,1.1,1.24,1.09
b_1,0.56,0.39,0.65,0.55,20.96,1.29,0.93,0.88,0.9,0.78,0.37,0.9,1.06,0.54,1.01,0.84
a_1,0.73,0.52,0.6,0.5,0.57,30.52,0.86,0.87,0.94,0.89,0.77,0.74,1.11,0.36,0.79,0.64
h_1,1.29,0.68,0.57,0.89,0.56,0.68,4.91,1.35,0.96,1.09,1.32,0.86,0.69,1.12,1.73,0.94
g_1,0.6,0.54,0.66,1.65,0.59,0.64,1.02,5.92,1.03,1.19,1.37,2.0,1.25,1.39,0.74,1.58
d_0,0.69,0.58,2.27,0.42,0.75,0.46,1.23,1.18,2.83,0.73,1.2,1.42,1.38,1.41,1.11,1.41
c_0,0.81,0.71,0.46,0.95,0.39,0.82,0.95,1.27,1.43,3.12,3.89,1.36,1.67,1.68,1.64,1.48
b_0,0.78,0.73,0.65,1.11,0.29,0.65,1.13,1.4,0.99,1.24,3.9,1.3,1.41,3.29,1.29,1.5
f_0,0.47,0.5,0.84,1.05,0.69,0.5,1.17,1.39,1.31,1.54,1.6,4.49,1.71,1.6,1.55,3.93
h_0,1.11,0.61,0.78,0.98,0.68,0.6,0.67,1.71,1.01,1.05,1.35,1.02,0.72,1.29,1.58,1.35
a_0,0.74,0.77,0.9,0.93,0.6,0.4,1.19,1.36,0.95,0.85,1.61,1.67,1.15,4.83,1.2,1.64
g_0,0.64,0.6,0.61,1.77,0.56,0.58,1.07,0.85,0.78,1.13,1.6,2.49,1.21,1.3,0.69,1.56
e_0,0.75,0.24,0.86,0.79,1.1,0.78,1.06,1.03,1.22,1.15,1.7,1.59,1.62,1.1,1.35,6.0
