,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.95,0.56,0.53,0.5,0.81,0.34,0.37,0.33,0.29,0.19,0.31,0.21,0.32,0.24,0.21,0.26
f_1,0.57,0.95,0.56,0.8,0.46,0.3,0.35,0.32,0.36,0.32,0.21,0.3,0.25,0.15,0.24,0.25
d_1,0.51,0.62,0.95,0.53,0.5,0.35,0.4,0.31,0.28,0.53,0.32,0.4,0.31,0.26,0.24,0.26
e_1,0.69,0.5,0.51,0.95,0.53,0.36,0.37,0.36,0.57,0.31,0.34,0.3,0.31,0.21,0.25,0.31
b_1,0.51,0.61,0.58,0.53,0.95,0.67,0.42,0.32,0.34,0.34,0.3,0.25,0.32,0.23,0.22,0.27
a_1,0.75,0.77,0.59,0.58,0.46,0.94,0.44,0.46,0.43,0.42,0.39,0.38,0.36,0.34,0.26,0.33
h_1,0.84,1.04,0.85,0.78,0.66,0.55,0.78,0.57,0.47,0.49,0.46,0.46,0.37,0.32,0.34,0.49
g_1,0.84,0.82,1.2,0.7,0.74,0.48,0.6,0.78,0.5,0.51,0.69,0.45,0.4,0.42,0.34,0.4
d_0,1.4,0.89,0.73,0.72,0.87,0.57,0.58,0.51,0.71,0.35,0.52,0.42,0.44,0.36,0.4,0.44
c_0,1.03,1.0,0.86,0.84,0.65,0.53,0.68,0.6,0.64,0.72,0.52,0.86,0.55,0.45,0.47,0.48
f_0,1.0,0.88,1.06,0.79,0.9,0.62,0.7,0.52,0.54,0.58,0.69,0.59,0.51,0.71,0.44,0.44
b_0,1.07,1.11,0.93,0.9,0.68,0.48,0.68,0.57,0.64,0.48,0.44,0.68,0.57,0.44,0.7,0.48
h_0,1.01,1.27,1.02,0.95,0.86,0.6,0.64,0.79,0.64,0.58,0.57,0.53,0.47,0.43,0.5,0.6
e_0,1.08,1.38,1.06,0.78,0.95,0.68,0.78,0.61,0.59,0.53,0.52,0.5,0.64,0.66,0.45,0.51
a_0,1.05,1.07,1.18,0.96,0.95,0.52,0.74,0.66,0.61,0.55,0.45,0.48,0.52,0.42,0.64,0.51
g_0,1.1,0.95,1.4,0.83,0.95,0.56,0.65,0.5,0.61,0.67,0.76,0.61,0.54,0.49,0.48,0.47
