,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.98,0.9,1.65,1.83,3.19,20.28,35.77,28.81,31.1,44.8,53.57,84.56,101.31,141.04,123.27
d_1,1.03,1.0,1.1,1.1,1.51,3.11,15.56,26.03,20.03,33.62,38.71,44.99,67.36,75.83,94.94,89.66
f_1,1.1,0.9,1.0,1.1,1.44,2.89,12.39,21.79,24.61,22.56,39.5,38.01,69.69,81.04,75.77,85.89
c_1,0.61,0.9,0.91,1.0,2.02,2.37,13.67,14.9,18.74,18.32,26.34,32.34,52.1,61.89,80.62,93.99
b_1,0.55,0.67,0.69,0.5,1.0,3.37,10.29,15.49,17.57,18.46,24.64,26.98,55.86,43.68,64.81,59.51
a_1,0.32,0.32,0.35,0.41,0.3,1.0,4.91,6.46,7.6,9.3,13.64,11.81,21.94,28.54,27.18,30.43
h_1,0.05,0.07,0.08,0.07,0.1,0.2,1.0,1.32,1.72,1.62,2.46,2.16,4.34,4.9,5.39,6.65
d_0,0.03,0.04,0.04,0.07,0.07,0.15,0.78,1.0,1.06,0.9,1.71,1.55,3.33,3.66,3.43,4.41
g_1,0.04,0.05,0.04,0.05,0.06,0.13,0.6,0.92,1.0,1.02,1.56,2.15,2.28,2.94,3.69,3.95
c_0,0.03,0.03,0.05,0.05,0.05,0.11,0.66,1.12,0.94,1.0,2.15,1.58,3.3,3.12,3.57,3.54
b_0,0.02,0.02,0.03,0.04,0.04,0.07,0.4,0.59,0.62,0.47,1.0,0.95,2.17,3.07,2.2,2.4
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.43,0.61,0.46,0.64,0.94,1.0,1.63,2.12,3.52,2.05
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.23,0.3,0.43,0.31,0.44,0.56,1.0,1.02,1.12,1.62
a_0,0.01,0.01,0.01,0.02,0.03,0.03,0.21,0.28,0.37,0.3,0.31,0.51,1.0,1.0,1.11,1.09
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.28,0.27,0.26,0.41,0.28,0.89,0.89,1.0,1.15
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.24,0.26,0.3,0.43,0.5,0.63,0.88,0.89,1.03
