,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,11100.45,4934.47,4643.0,7695.31,12886.03,56967.56,4722713.35,9749303.08,30488076.31,19210896.64,27125642.43,41083482.95,96278980.92,166037140.52,401553311.49,274770280.41
f_1,6397.16,12106.61,5990.06,6642.72,12211.17,71825.47,4963485.33,7194217.02,16503021.8,15701686.62,27112597.55,19404118.59,92788278.68,136762531.41,450844358.73,206412245.5
d_1,3932.08,4995.06,16690.39,5731.34,13572.01,75441.23,4828502.35,9533753.65,10667345.74,33994225.81,31659756.46,37727053.96,101519304.58,155683050.22,413064910.0,315437916.69
c_1,3948.79,4737.19,5562.82,19940.93,24938.41,59024.81,4372576.31,7965417.6,16738908.07,10156300.76,18239506.93,34291959.98,96963969.71,147510562.71,384474588.37,337329314.44
b_1,3776.37,4417.2,5838.44,6546.44,49689.21,137412.59,4020705.57,7772154.38,13188474.06,16285434.63,15088930.03,33460236.08,85952582.48,143325630.96,370354403.78,329940809.42
a_1,3548.4,4766.96,5747.12,8159.62,12553.9,362397.75,5297533.47,10001904.97,17018219.9,18474030.6,29435046.99,36045443.49,58433360.4,174957890.86,394686688.33,406027214.98
h_1,4678.05,6355.82,5978.19,8362.51,15634.34,54928.99,10053831.85,13038175.3,17122335.82,19631328.46,28431336.41,37645967.51,106416148.71,124757696.4,565514862.55,389112221.86
g_1,3921.71,3761.55,9843.53,7436.18,13922.01,80104.78,5386867.93,21032776.61,13238102.23,21305317.7,26976344.09,65682603.98,98259474.21,155394650.82,352375738.22,434821187.68
d_0,3937.52,4956.45,5245.65,13178.95,14136.91,73002.13,4992902.96,9644694.07,29400441.97,12617835.92,26593432.84,45256152.75,92892659.85,156160762.09,468998791.37,403890229.64
c_0,4194.74,5560.6,7753.69,6013.97,11078.05,75928.96,4959208.18,11252076.76,17828142.03,34082002.89,57062595.42,49888091.3,138005198.4,184496191.97,451352285.51,363438616.78
b_0,4275.32,5512.39,7237.71,8372.54,10062.56,79463.94,5036721.51,10362398.34,17299900.79,19703867.99,53248000.0,45629625.85,218162589.36,185714186.31,536110945.84,389971706.69
f_0,3333.46,3959.53,7650.58,8487.16,14989.12,83971.91,6429487.53,12018729.49,19870365.03,21897132.08,30830107.53,74915098.52,129242191.31,189379906.28,453173526.22,813124736.71
a_0,4107.95,5136.05,8780.37,7679.84,14669.56,45981.73,5718935.13,9729202.69,16831316.92,18245718.43,33198173.52,43015113.48,218782850.02,158852574.31,568840499.98,385558685.58
h_0,4043.08,6803.44,7266.89,7461.87,14455.19,74040.63,3918853.11,10970907.23,16072236.19,17693746.53,28142263.28,33993612.35,118639989.34,113568184.72,579703194.71,333623751.48
g_0,4124.8,4662.73,9474.31,6849.78,15660.93,66056.85,5098285.72,9044228.08,18079238.85,21818928.04,29866666.67,63520504.5,124958356.44,174379517.67,376295874.45,399660444.74
e_0,2947.23,5599.63,6691.26,8919.09,17792.02,93413.73,5827611.67,9949595.95,18944106.23,20014086.33,26375757.58,42819590.24,109268398.1,149015224.19,523997035.87,832350678.3
