,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.2,0.05,0.03,0.03,0.03,0.02,0.06,0.05,0.06,0.05,0.07,,0.1,0.03,0.03,0.05
e_1,0.03,2.24,0.03,0.03,0.02,0.02,0.06,0.05,0.06,0.11,0.07,0.06,0.08,,0.04,0.06
d_1,0.03,0.02,2.26,0.03,0.04,0.02,0.05,0.04,0.15,,0.05,0.06,0.06,0.06,0.03,0.05
c_1,0.03,0.03,0.02,2.47,0.05,0.02,0.06,0.05,,0.07,0.06,0.05,0.07,0.05,0.04,0.06
b_1,0.03,0.03,0.03,0.03,2.5,0.04,0.05,0.05,0.05,0.08,,0.08,0.06,0.04,0.05,0.07
a_1,0.03,0.02,0.03,0.03,0.03,3.18,0.07,0.04,0.07,0.08,,0.04,0.08,,,0.07
h_1,0.15,0.1,0.11,0.1,0.1,0.08,2.65,0.22,0.19,0.25,0.17,0.28,,0.14,0.25,0.33
g_1,0.11,0.1,0.18,0.08,0.09,0.08,0.24,2.91,0.16,0.15,0.27,0.37,0.22,0.17,0.16,
c_0,0.18,0.14,0.13,,0.14,0.07,0.27,0.25,1.93,0.31,0.54,0.28,0.4,0.26,0.24,0.39
d_0,0.17,0.15,,0.28,0.12,0.09,0.28,0.25,0.26,2.01,0.29,0.24,0.43,0.35,0.2,0.34
b_0,0.13,0.17,0.14,0.1,,,0.37,0.27,0.25,0.45,1.95,0.33,0.49,0.31,0.49,0.28
f_0,,0.15,0.16,0.15,0.13,0.08,0.19,0.16,0.36,0.32,0.36,2.18,0.5,,0.22,0.37
h_0,0.31,0.27,0.24,0.2,0.14,0.15,,0.51,0.55,0.49,0.42,0.44,,,0.27,0.65
e_0,0.13,,0.1,0.1,0.09,,0.39,0.25,0.44,0.19,0.29,,,2.81,0.38,0.37
a_0,0.17,0.12,0.19,0.14,0.14,,0.24,0.31,0.35,0.18,0.27,0.29,0.34,0.29,2.56,0.36
g_0,0.14,0.25,0.29,0.21,0.2,0.18,0.41,,0.48,0.27,0.47,0.73,0.54,0.29,0.39,
