,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.17,0.95,1.01,0.94,1.01,1.36,0.98,1.06,1.1,1.14,1.03,1.08,1.22,1.1
f_1,1.28,1.0,1.05,0.81,0.95,0.93,0.87,1.06,0.95,0.95,0.97,0.9,0.95,0.88,0.8,1.1
c_1,0.85,0.96,1.0,1.13,1.34,0.97,1.12,0.71,0.88,1.02,0.89,0.96,0.88,0.94,0.91,0.95
d_1,1.05,1.23,0.89,1.0,0.95,0.87,0.95,1.02,1.25,0.87,0.95,0.96,1.06,0.96,0.93,0.8
b_1,0.99,1.04,0.74,1.03,1.0,1.43,1.11,0.98,1.07,1.01,1.01,1.0,0.96,1.09,0.89,1.1
a_1,1.03,1.08,1.04,1.16,0.72,1.0,1.04,0.96,1.03,1.12,1.0,1.12,1.12,1.13,1.11,1.04
h_1,0.97,1.13,0.9,1.07,0.88,0.91,1.0,0.89,0.97,1.22,0.97,0.89,0.95,1.01,1.04,1.16
d_0,0.75,0.97,1.39,0.95,1.03,0.98,1.09,1.0,0.86,1.1,1.06,0.95,1.0,1.13,1.08,1.0
c_0,1.03,1.02,1.21,0.79,0.92,0.96,1.02,1.17,1.0,1.06,1.48,1.03,1.2,1.1,1.24,1.05
g_1,0.94,1.05,0.98,1.17,0.99,0.85,0.85,0.92,0.94,1.0,0.95,1.19,0.89,0.9,1.12,0.93
b_0,0.91,0.98,1.18,1.02,0.99,0.98,1.03,0.94,0.73,1.08,1.0,0.9,1.37,0.98,1.11,0.96
f_0,0.84,1.11,1.05,1.05,1.0,0.96,1.07,1.04,1.0,0.8,1.11,1.0,1.06,0.99,1.52,0.82
a_0,0.93,1.08,1.2,0.93,1.06,0.85,1.03,1.05,0.86,1.13,0.75,0.98,1.0,1.06,1.04,1.06
h_0,0.94,1.16,1.07,1.01,0.91,0.91,0.98,0.94,0.9,1.13,1.04,1.0,0.89,1.0,0.95,1.13
e_0,0.81,1.15,1.17,1.12,1.09,0.85,0.99,0.95,0.84,0.93,1.0,0.7,0.94,1.11,1.0,0.99
g_0,0.93,0.93,1.03,1.21,0.97,0.96,0.89,0.97,0.98,1.03,1.0,1.21,0.98,0.88,1.05,1.0
