,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.32,0.71,0.82,1.0,0.79,0.55,1.46,1.53,3.07,1.53,1.49,1.97,2.23,1.2,1.48,2.02
d_1,0.86,2.38,0.89,0.58,0.7,0.69,1.5,1.64,1.03,2.89,2.05,1.73,2.21,1.51,1.62,1.92
f_1,1.43,0.79,2.4,0.82,0.63,0.51,1.44,1.22,1.68,1.62,1.59,0.72,1.61,0.85,1.41,1.8
c_1,0.83,0.82,0.79,2.51,1.38,0.68,1.34,1.44,1.6,0.83,1.12,1.54,2.2,1.17,1.01,1.48
b_1,0.68,0.9,0.88,0.77,2.64,1.37,1.53,1.42,1.59,1.63,1.09,1.53,2.15,1.49,0.81,1.73
a_1,0.83,0.92,1.0,0.86,0.69,3.05,1.65,1.47,1.7,1.79,1.86,1.47,2.36,1.47,0.96,1.94
h_1,0.92,1.06,1.17,0.9,0.84,0.68,3.41,2.0,1.69,1.64,1.57,1.73,1.75,1.7,1.47,3.0
g_1,0.84,1.42,0.75,0.88,0.81,0.7,1.53,3.33,1.71,1.84,1.81,2.59,2.24,1.79,1.35,1.59
d_0,0.91,0.67,0.81,1.66,0.89,0.78,1.66,1.55,2.98,1.23,1.31,1.82,2.36,1.65,1.22,2.12
c_0,0.99,1.1,1.07,0.72,0.59,0.67,1.78,1.74,1.71,3.15,3.41,1.93,2.76,1.65,2.13,1.87
b_0,0.88,1.04,1.08,0.85,0.55,0.56,1.78,1.6,1.93,2.0,3.3,1.9,2.78,1.62,3.28,2.32
f_0,0.78,1.1,0.68,1.02,0.8,0.82,1.6,1.79,2.27,1.63,1.75,3.26,2.73,3.24,1.47,2.5
h_0,0.8,1.07,1.3,0.91,0.79,0.78,1.14,2.15,1.94,1.75,2.01,1.73,1.55,1.75,1.5,2.58
e_0,0.61,1.17,1.02,0.99,0.9,0.86,1.61,1.9,2.02,1.73,1.8,1.66,2.91,3.47,1.67,2.52
a_0,0.87,1.01,1.04,1.01,0.95,0.39,1.84,1.65,2.11,1.65,2.14,2.03,2.75,1.88,3.59,2.39
g_0,0.85,1.38,0.85,0.94,0.76,0.64,1.83,1.42,1.76,1.89,1.61,2.64,2.81,2.1,1.55,1.57
