,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.02,1.09,1.87,2.36,18.49,36.71,30.92,26.12,36.17,34.21,65.78,86.16,,102.04
f_1,1.21,1.0,1.25,1.23,1.03,2.08,14.61,20.44,25.8,35.04,35.97,,59.84,87.6,70.8,83.73
c_1,0.98,0.8,1.0,0.94,2.13,2.7,14.97,17.8,,26.89,26.77,35.42,72.28,91.31,107.57,95.65
d_1,0.91,0.81,1.06,1.0,1.78,2.33,14.71,,37.99,20.71,36.52,35.76,67.86,62.39,75.78,69.23
b_1,0.54,0.97,0.47,0.56,1.0,2.87,11.22,19.05,22.05,20.02,,30.01,47.12,56.06,,51.19
a_1,0.42,0.48,0.37,0.43,0.35,1.0,7.95,10.16,8.22,11.29,16.82,16.41,21.6,,,36.27
h_1,0.05,0.07,0.07,0.07,0.09,0.13,1.0,1.48,1.58,1.81,2.35,2.33,,,4.52,7.17
d_0,0.03,0.05,0.06,,0.05,0.1,0.68,1.0,0.88,0.91,1.46,1.6,3.56,2.93,3.48,4.56
c_0,0.03,0.04,,0.03,0.05,0.12,0.63,1.14,1.0,0.98,1.69,1.44,3.22,4.48,3.68,4.65
g_1,0.04,0.03,0.04,0.05,0.05,0.09,0.55,1.1,1.02,1.0,1.53,1.69,2.81,2.93,3.1,
b_0,0.03,0.03,0.04,0.03,,0.06,0.43,0.69,0.59,0.65,1.0,0.93,2.21,3.96,2.22,2.32
f_0,0.03,,0.03,0.03,0.03,0.06,0.43,0.62,0.7,0.59,1.07,1.0,2.52,,2.53,1.6
h_0,0.02,0.02,0.01,0.01,0.02,0.05,,0.28,0.31,0.36,0.45,0.4,,0.91,1.47,1.63
a_0,0.01,0.01,0.01,0.02,0.02,,,0.34,0.22,0.34,0.25,,1.09,1.0,1.01,0.95
e_0,,0.01,0.01,0.01,,,0.22,0.29,0.27,0.32,0.45,0.39,0.68,0.99,1.0,1.07
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.22,0.21,,0.43,0.63,0.61,1.05,0.94,
