,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.06,1.46,2.07,2.11,1.87,1.68,0.87,0.77,0.61,0.7,0.61,0.7,0.59,0.52,0.76,0.53
f_1,2.32,1.06,1.87,2.1,1.9,1.61,0.59,0.78,0.56,0.63,0.56,0.72,0.51,0.34,0.36,0.43
d_1,2.24,2.18,1.06,1.86,1.88,1.85,0.79,0.6,0.69,0.91,0.63,0.57,0.5,0.43,0.6,0.33
c_1,1.97,2.34,3.11,1.06,2.87,1.91,0.92,0.81,0.79,0.41,0.67,0.6,0.63,0.51,0.62,0.5
b_1,2.73,2.65,2.52,1.53,1.07,2.77,1.25,1.13,0.82,0.84,0.96,0.73,0.68,0.61,0.73,0.52
a_1,3.64,3.74,3.43,3.39,1.83,1.07,1.44,1.46,1.34,1.28,1.24,1.01,1.53,1.02,0.79,0.95
h_1,5.1,6.19,5.03,5.21,4.31,3.96,1.31,2.23,1.54,1.64,1.33,1.28,1.3,1.37,1.24,1.05
g_1,5.71,6.2,6.14,6.34,5.12,4.52,1.7,1.32,1.71,1.77,1.56,1.88,1.44,1.12,1.73,1.37
c_0,7.1,8.07,4.25,12.47,6.23,4.63,2.53,2.39,1.47,2.77,2.51,1.85,1.66,1.61,1.88,1.32
d_0,4.36,6.78,9.54,8.46,6.77,5.55,2.9,2.43,2.09,1.49,2.13,1.91,2.0,1.58,2.01,1.78
b_0,6.61,7.8,7.12,8.06,10.78,5.26,3.11,2.76,1.37,2.1,1.52,1.66,2.41,1.74,1.87,1.45
f_0,6.8,11.2,8.13,7.9,7.5,6.48,2.89,2.15,2.12,2.39,2.6,1.56,2.09,1.94,3.17,1.25
a_0,8.82,10.1,8.76,9.2,12.19,9.03,3.44,3.77,2.58,2.76,1.43,2.38,1.59,1.89,2.46,1.39
h_0,8.94,11.33,9.68,10.26,8.5,6.58,4.86,3.6,2.67,2.73,2.32,2.19,2.19,2.69,2.17,1.98
e_0,12.39,16.15,8.97,10.13,10.53,10.07,4.25,3.19,2.89,3.26,2.84,1.43,2.45,2.06,1.55,2.26
g_0,12.34,12.31,11.73,10.42,10.97,8.29,3.93,4.87,3.28,3.12,3.03,3.11,3.47,2.18,2.38,2.82
