,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.43,1.4,1.3,1.88,1.5,1.23,3.09,2.81,4.82,3.09,3.52,3.15,4.02,3.97,2.7,4.16
f_1,2.09,2.44,1.44,1.46,1.32,1.4,2.65,2.87,3.04,2.8,3.12,2.24,3.56,2.8,2.53,3.99
d_1,1.5,1.58,2.55,1.24,1.4,1.59,2.73,2.93,2.5,5.08,3.8,3.27,3.92,3.17,3.74,3.72
c_1,1.2,1.47,1.57,2.63,2.53,1.43,2.74,2.73,2.67,1.99,2.16,3.26,4.16,2.84,3.2,3.78
b_1,1.42,1.65,1.61,1.24,2.77,2.78,2.8,2.59,2.94,3.42,2.82,3.11,4.03,2.86,3.08,3.77
a_1,1.62,1.66,1.59,1.46,1.02,3.47,3.25,3.14,3.39,3.52,3.76,3.61,4.55,2.86,3.87,3.81
h_1,1.46,1.92,1.67,1.5,1.49,1.41,4.35,3.46,2.79,3.17,3.14,3.51,3.36,2.9,3.08,5.01
g_1,1.29,1.39,2.05,1.61,1.52,1.41,2.71,4.5,2.96,3.47,3.91,4.63,3.56,3.44,3.83,4.18
d_0,1.29,1.63,1.21,2.57,1.7,1.29,3.41,3.15,4.21,2.06,2.87,3.52,4.25,3.56,3.48,4.45
c_0,1.61,1.78,1.44,1.66,1.21,1.38,3.18,3.24,4.05,4.26,5.66,3.87,4.45,4.51,3.65,4.73
b_0,1.56,1.7,1.47,1.93,1.28,1.24,3.39,3.12,3.62,2.67,4.54,3.46,4.51,6.11,3.43,4.82
f_0,1.36,1.48,1.64,1.84,1.73,1.45,2.68,2.79,3.52,3.07,3.52,4.83,4.72,3.62,6.38,3.78
h_0,1.43,1.93,1.7,1.63,1.48,1.4,2.73,3.62,3.12,3.15,3.16,3.22,3.73,3.45,3.33,5.58
a_0,1.4,1.92,1.55,1.77,1.6,1.05,3.53,3.07,3.08,3.08,2.99,3.2,4.44,5.27,3.46,4.12
e_0,1.32,1.57,1.64,1.69,1.79,1.53,3.18,2.99,3.44,3.43,3.69,3.01,4.72,3.25,5.31,4.71
g_0,1.3,1.37,2.17,1.58,1.62,1.5,2.85,2.73,2.72,3.32,2.77,4.78,3.73,3.25,4.0,3.93
