,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.4,0.67,0.64,0.58,0.57,0.52,0.3,0.24,0.33,0.28,0.26,0.27,0.22,0.28,0.17,0.26
f_1,0.56,0.4,0.65,0.63,0.58,0.57,0.26,0.32,0.28,0.24,0.25,0.28,0.18,0.23,0.23,0.22
e_1,0.64,0.44,0.4,0.67,0.59,0.6,0.32,0.35,0.33,0.29,0.3,0.31,0.22,0.28,0.25,0.28
c_1,0.73,0.58,0.51,0.37,0.67,0.55,0.31,0.32,0.18,0.27,0.23,0.28,0.24,0.23,0.23,0.25
b_1,0.62,0.65,0.58,0.41,0.36,0.71,0.33,0.31,0.27,0.33,0.36,0.27,0.25,0.27,0.24,0.28
a_1,0.6,0.66,0.59,0.65,0.37,0.3,0.4,0.36,0.32,0.3,0.33,0.25,0.27,0.39,0.24,0.27
h_1,0.55,0.61,0.56,0.57,0.54,0.49,0.23,0.34,0.25,0.23,0.25,0.23,0.28,0.24,0.23,0.23
g_1,0.61,0.58,0.54,0.54,0.59,0.5,0.24,0.22,0.26,0.26,0.27,0.28,0.19,0.24,0.23,0.26
d_0,0.64,0.55,0.4,0.71,0.58,0.52,0.34,0.32,0.23,0.26,0.29,0.25,0.25,0.23,0.23,0.29
c_0,0.41,0.61,0.59,0.83,0.57,0.53,0.33,0.3,0.33,0.22,0.32,0.27,0.24,0.26,0.22,0.29
b_0,0.51,0.62,0.54,0.76,0.61,0.49,0.32,0.3,0.26,0.17,0.21,0.26,0.2,0.27,0.21,0.22
f_0,0.54,0.64,0.54,0.53,0.57,0.6,0.32,0.23,0.26,0.26,0.27,0.2,0.22,0.25,0.16,0.35
h_0,0.55,0.6,0.59,0.55,0.59,0.5,0.33,0.3,0.25,0.23,0.25,0.25,0.23,0.22,0.23,0.22
a_0,0.55,0.69,0.59,0.59,0.55,0.53,0.32,0.33,0.28,0.23,0.19,0.23,0.22,0.19,0.21,0.22
g_0,0.59,0.57,0.55,0.57,0.53,0.52,0.27,0.36,0.24,0.25,0.26,0.29,0.18,0.24,0.22,0.28
e_0,0.54,0.72,0.64,0.57,0.59,0.52,0.29,0.25,0.23,0.2,0.27,0.15,0.23,0.25,0.19,0.18
