,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.37,0.25,0.27,0.29,0.3,0.25,0.7,0.48,0.93,0.48,0.68,0.57,0.75,0.65,0.54,
f_1,0.45,2.41,0.24,0.26,0.27,0.24,0.48,0.59,0.62,0.82,0.63,,0.68,0.65,0.43,0.62
d_1,0.31,0.27,2.51,0.23,0.27,0.26,0.5,0.42,,1.08,0.69,0.65,0.83,0.57,0.79,0.61
c_1,0.26,0.28,0.34,2.55,0.38,0.29,0.67,0.61,0.55,,0.42,0.54,0.89,0.73,0.63,0.44
b_1,0.25,0.31,0.27,0.26,2.67,0.36,0.49,0.56,0.58,0.78,,0.6,0.96,0.73,0.56,0.56
a_1,0.31,0.29,0.2,0.3,0.28,3.27,0.61,0.61,0.72,0.5,0.53,0.56,0.68,0.82,,
h_1,0.47,0.69,0.56,0.43,0.59,0.45,3.69,1.05,1.18,1.0,1.24,1.58,,1.94,1.36,1.32
g_1,0.48,0.54,0.8,0.53,0.44,0.44,1.22,4.16,1.15,0.96,0.95,1.67,1.34,,1.33,1.24
d_0,0.52,0.65,,0.84,0.76,0.58,1.18,1.06,3.43,1.25,1.45,1.44,1.94,1.92,1.47,1.19
c_0,0.72,0.47,0.51,,0.44,0.61,1.51,1.59,1.46,3.62,2.41,1.61,1.37,2.28,1.26,
b_0,0.51,0.69,0.53,0.83,,0.62,1.4,1.31,1.5,1.04,3.84,1.41,1.81,1.8,1.81,1.48
f_0,0.67,,0.67,0.71,0.57,0.64,0.92,1.19,1.05,1.3,1.27,3.89,2.01,1.73,1.61,
h_0,0.71,1.05,0.69,0.66,0.76,0.76,,1.56,1.9,1.55,1.62,1.58,,2.51,1.65,2.16
g_0,0.73,0.71,1.37,0.7,0.82,0.82,1.15,,1.44,1.21,1.72,2.33,1.75,,,1.54
a_0,0.5,0.55,0.61,0.76,0.56,,1.1,0.97,1.4,2.03,1.58,1.11,2.31,,4.63,
e_0,,0.62,0.49,0.75,0.6,,1.19,1.32,1.5,,1.17,,1.5,2.01,,4.99
