,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.47,1.3,1.4,1.91,1.5,1.4,2.97,4.91,2.7,2.75,3.59,3.63,4.16,3.02,3.24,4.16
f_1,2.35,2.53,1.27,1.36,1.25,1.22,2.58,3.37,2.73,3.31,2.69,3.13,3.72,2.28,3.73,3.72
d_1,1.44,1.7,2.59,1.17,1.47,1.37,2.85,2.42,2.57,5.05,3.16,3.72,3.88,3.66,3.38,3.8
c_1,1.21,1.44,1.51,2.58,2.5,1.43,3.01,2.65,2.53,2.06,3.25,2.25,3.95,3.09,2.67,4.07
b_1,1.35,1.5,1.51,1.27,2.74,2.75,2.92,3.03,2.98,3.25,3.07,2.58,4.18,3.6,2.82,4.09
a_1,1.48,1.82,1.54,1.64,1.17,3.24,2.8,3.42,2.8,2.66,3.29,3.44,4.49,3.83,3.11,3.83
h_1,1.46,2.0,1.68,1.54,1.47,1.35,4.16,2.81,4.19,3.07,3.09,3.16,3.42,3.45,3.6,5.3
d_0,1.25,1.42,1.33,2.45,1.77,1.49,3.21,4.15,3.23,2.36,3.65,3.45,4.12,3.73,4.25,4.36
g_1,1.45,1.51,2.2,1.6,1.47,1.61,2.52,2.67,4.53,3.18,4.53,3.09,3.58,3.3,3.27,3.3
c_0,1.69,1.64,1.49,1.51,1.15,1.62,3.16,3.96,3.07,4.36,3.62,5.94,4.34,3.43,4.71,4.71
f_0,1.29,1.39,1.71,1.76,1.65,1.66,3.33,3.25,3.01,3.31,4.55,3.67,4.21,6.22,3.88,4.03
b_0,1.49,1.75,1.42,1.93,1.26,1.03,3.37,3.47,3.46,2.58,3.31,4.7,4.47,3.76,6.61,4.6
h_0,1.42,1.95,1.64,1.52,1.5,1.61,2.8,3.45,3.99,3.08,3.36,3.33,3.66,3.33,3.33,4.84
e_0,1.3,1.89,1.65,1.66,1.37,1.43,3.47,3.39,3.74,3.5,2.68,3.63,5.01,5.37,4.87,4.67
a_0,1.62,1.54,1.7,1.75,1.64,1.19,3.39,3.19,3.69,3.35,3.28,3.08,4.06,2.98,5.15,3.96
g_0,1.29,1.47,2.16,1.37,1.63,1.52,2.75,2.87,3.13,3.5,4.62,3.18,3.79,3.71,4.09,3.86
