,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.18,1.06,1.29,1.7,2.63,16.65,28.58,31.04,27.38,37.98,51.17,67.35,62.65,118.12,103.82
e_1,0.83,1.0,1.07,1.42,1.73,2.95,22.13,29.48,40.56,31.49,44.87,60.75,81.02,73.98,126.63,131.62
d_1,0.97,0.92,1.0,1.06,1.39,2.49,17.55,21.09,25.78,36.88,41.88,52.54,63.93,63.27,97.47,115.99
c_1,0.77,0.71,0.96,1.0,1.87,2.48,14.03,21.08,18.28,21.65,26.23,38.64,55.11,61.28,93.66,88.56
b_1,0.58,0.59,0.71,0.55,1.0,2.3,11.8,17.7,16.78,18.92,23.02,31.36,38.77,44.87,72.25,71.15
a_1,0.37,0.33,0.39,0.4,0.44,1.0,7.29,10.09,10.64,10.81,15.19,19.56,25.6,33.11,43.73,43.12
h_1,0.06,0.05,0.06,0.07,0.08,0.13,1.0,1.71,1.64,1.54,2.19,2.74,3.47,4.1,6.86,6.78
g_1,0.03,0.03,0.05,0.05,0.06,0.1,0.58,1.0,0.98,1.05,1.35,2.21,2.25,2.31,4.67,4.09
d_0,0.03,0.03,0.04,0.06,0.06,0.09,0.61,1.06,1.0,0.78,1.27,1.69,2.52,2.63,4.18,4.15
c_0,0.04,0.03,0.03,0.05,0.05,0.09,0.64,0.96,1.25,1.0,1.88,1.88,2.61,2.57,4.03,4.08
b_0,0.03,0.02,0.02,0.04,0.04,0.06,0.46,0.73,0.79,0.55,1.0,1.2,2.37,2.02,3.23,2.83
f_0,0.02,0.02,0.02,0.03,0.03,0.05,0.37,0.45,0.59,0.51,0.8,1.0,1.32,1.39,1.95,3.33
a_0,0.01,0.01,0.01,0.02,0.03,0.04,0.29,0.43,0.41,0.37,0.45,0.76,1.0,1.05,1.81,1.54
h_0,0.02,0.01,0.02,0.02,0.02,0.03,0.24,0.43,0.38,0.38,0.48,0.7,0.92,1.0,1.85,1.53
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.21,0.24,0.24,0.31,0.51,0.56,0.53,1.0,1.0
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.24,0.22,0.24,0.37,0.29,0.63,0.65,0.99,1.0
