,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.67,0.65,0.71,0.7,0.58,0.28,0.3,0.28,0.4,0.27,0.33,0.2,0.27,0.27,0.26
e_1,0.49,0.41,0.63,0.76,0.68,0.66,0.44,0.42,0.29,0.38,0.36,0.44,0.28,0.32,0.4,0.33
d_1,0.71,0.75,0.38,0.64,0.69,0.55,0.32,0.4,0.36,0.25,0.28,0.28,0.26,0.3,0.27,0.18
c_1,0.66,0.6,0.79,0.38,0.73,0.63,0.34,0.19,0.29,0.31,0.25,0.29,0.25,0.29,0.29,0.27
b_1,0.7,0.67,0.68,0.43,0.37,0.89,0.41,0.3,0.39,0.4,0.45,0.32,0.29,0.28,0.31,0.31
a_1,0.85,0.66,0.73,0.63,0.4,0.3,0.41,0.32,0.35,0.43,0.34,0.31,0.24,0.44,0.29,0.24
h_1,0.7,0.57,0.64,0.67,0.56,0.52,0.24,0.27,0.28,0.38,0.29,0.25,0.28,0.26,0.27,0.25
d_0,0.61,0.4,0.72,0.84,0.67,0.61,0.38,0.24,0.31,0.36,0.26,0.33,0.26,0.3,0.33,0.29
c_0,0.7,0.7,0.39,0.82,0.62,0.6,0.35,0.35,0.23,0.38,0.36,0.26,0.26,0.3,0.27,0.23
g_1,0.62,0.61,0.7,0.76,0.63,0.53,0.26,0.27,0.28,0.21,0.32,0.31,0.2,0.26,0.25,0.27
b_0,0.69,0.56,0.57,0.82,0.71,0.65,0.32,0.3,0.18,0.3,0.22,0.24,0.24,0.31,0.23,0.21
f_0,0.76,0.56,0.6,0.63,0.61,0.61,0.36,0.29,0.32,0.24,0.33,0.2,0.25,0.31,0.36,0.18
h_0,0.66,0.57,0.6,0.65,0.59,0.62,0.41,0.27,0.27,0.35,0.29,0.29,0.28,0.26,0.25,0.26
a_0,0.67,0.63,0.53,0.65,0.82,0.66,0.31,0.27,0.24,0.37,0.19,0.25,0.3,0.19,0.23,0.23
e_0,0.74,0.63,0.6,0.6,0.62,0.58,0.31,0.26,0.27,0.33,0.32,0.15,0.28,0.29,0.19,0.21
g_0,0.69,0.59,0.61,0.65,0.56,0.61,0.29,0.29,0.29,0.39,0.31,0.28,0.19,0.3,0.27,0.25
