,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.9,0.54,0.29,0.28,0.23,0.16,0.28,0.21,0.31,0.25,0.17,0.23,0.28,0.13,0.18,0.21
e_1,0.37,0.91,0.4,0.25,0.25,0.19,0.27,0.21,0.51,0.25,0.27,0.22,0.27,0.13,0.18,0.23
c_1,0.33,0.29,0.91,0.29,0.51,0.14,0.28,0.22,0.27,0.14,0.24,0.16,0.29,0.18,0.17,0.23
d_1,0.36,0.3,0.24,0.91,0.24,0.15,0.31,0.23,0.22,0.54,0.28,0.28,0.31,0.21,0.17,0.3
b_1,0.33,0.32,0.32,0.28,0.9,0.34,0.31,0.2,0.23,0.21,0.25,0.13,0.27,0.17,0.15,0.22
a_1,0.36,0.35,0.38,0.31,0.21,0.89,0.3,0.27,0.33,0.21,0.28,0.25,0.28,0.2,0.11,0.19
h_1,0.47,0.35,0.31,0.35,0.26,0.18,0.61,0.33,0.29,0.27,0.27,0.26,0.24,0.18,0.18,0.31
g_1,0.32,0.31,0.34,0.54,0.26,0.18,0.26,0.6,0.24,0.33,0.45,0.3,0.29,0.22,0.2,0.18
d_0,0.35,0.35,0.62,0.2,0.31,0.2,0.31,0.27,0.47,0.2,0.31,0.26,0.33,0.17,0.2,0.23
c_0,0.45,0.37,0.29,0.37,0.19,0.19,0.29,0.27,0.33,0.51,0.27,0.53,0.36,0.24,0.25,0.3
f_0,0.27,0.31,0.41,0.38,0.32,0.2,0.31,0.25,0.33,0.29,0.51,0.31,0.35,0.42,0.19,0.27
b_0,0.39,0.36,0.39,0.41,0.16,0.15,0.31,0.29,0.35,0.32,0.27,0.48,0.41,0.19,0.43,0.23
h_0,0.48,0.33,0.35,0.38,0.3,0.16,0.26,0.35,0.33,0.29,0.28,0.26,0.28,0.21,0.24,0.34
e_0,0.38,0.29,0.33,0.44,0.32,0.2,0.32,0.3,0.29,0.32,0.35,0.34,0.4,0.44,0.22,0.27
a_0,0.4,0.3,0.35,0.43,0.28,0.14,0.35,0.3,0.36,0.32,0.28,0.28,0.41,0.22,0.43,0.27
g_0,0.31,0.31,0.32,0.5,0.3,0.18,0.29,0.2,0.3,0.33,0.42,0.3,0.34,0.26,0.23,0.17
