,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.43,0.81,1.3,1.39,1.37,1.35,0.78,0.76,0.82,0.57,0.61,0.72,0.5,0.6,0.71,1.42
f_1,1.5,0.42,1.2,1.42,1.1,1.39,0.47,0.67,0.61,0.52,0.57,1.23,0.36,0.57,0.41,0.58
d_1,1.3,1.36,0.39,1.36,1.15,1.25,0.74,0.48,1.2,0.7,0.54,0.54,0.48,0.66,0.36,0.55
c_1,1.25,1.41,1.37,0.39,1.71,1.17,0.72,0.69,0.35,0.98,0.49,0.55,0.51,0.48,0.48,0.56
b_1,1.24,1.5,1.58,0.74,0.36,1.5,0.8,0.84,0.48,0.69,1.48,0.64,0.47,0.63,0.53,0.57
a_1,1.45,1.21,1.16,1.56,0.84,0.3,0.95,0.69,0.59,0.64,0.78,0.63,0.59,,0.52,0.59
h_1,0.9,1.19,0.87,0.92,0.97,0.83,0.26,0.53,0.46,0.41,0.4,0.45,0.79,0.43,0.43,0.35
g_1,0.97,1.09,1.06,1.01,0.83,0.95,0.41,0.24,0.47,0.41,0.4,0.44,0.33,0.47,0.5,0.44
d_0,0.55,1.12,1.84,1.07,1.3,0.98,0.49,0.63,0.28,0.4,0.47,0.38,0.5,0.4,0.49,0.35
c_0,0.95,1.06,0.6,1.7,0.94,0.94,0.54,0.73,0.5,0.26,0.59,0.38,0.48,0.41,0.45,0.42
b_0,0.92,0.88,0.94,1.47,1.62,0.83,0.48,0.54,0.39,0.23,0.25,0.41,0.35,0.49,0.29,0.4
f_0,0.85,2.09,0.96,0.88,0.9,0.76,0.56,0.38,0.54,0.54,0.44,0.24,0.36,0.52,0.3,0.5
h_0,1.01,1.11,0.84,0.94,0.93,0.83,0.65,0.54,0.4,0.37,0.42,0.39,0.68,0.38,0.43,0.35
a_0,0.9,0.97,0.85,1.16,1.03,,0.54,0.54,0.39,0.42,0.24,0.39,0.39,0.21,0.36,0.35
g_0,0.73,1.11,1.03,1.03,1.31,0.97,0.48,0.66,0.44,0.36,0.39,0.41,0.24,0.39,0.47,0.35
e_0,1.31,1.02,0.98,0.8,0.9,1.05,0.58,0.52,0.46,0.35,0.47,0.22,0.36,0.52,0.3,0.2
