,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.14,0.03,0.02,0.03,0.03,0.02,0.04,0.13,0.05,0.05,0.06,0.06,0.08,,0.04,0.06
f_1,0.05,2.22,0.02,0.03,0.03,0.02,0.06,0.06,0.03,0.07,0.07,,0.09,0.05,0.04,0.05
d_1,0.03,0.02,2.35,0.03,0.03,0.02,0.06,,0.04,0.14,0.06,0.07,0.08,0.06,0.04,0.05
c_1,0.02,0.02,0.04,2.39,0.04,0.03,0.07,0.05,0.05,,0.05,0.06,0.08,0.04,0.06,0.08
b_1,0.04,0.03,0.02,0.03,2.5,0.04,0.06,0.08,0.05,0.03,,0.08,0.12,0.05,,0.06
a_1,0.03,0.03,0.03,0.03,0.02,3.1,0.05,0.08,,0.09,0.05,0.05,0.07,,,
h_1,0.1,0.16,0.11,0.13,0.13,0.08,2.75,0.26,0.23,0.21,0.23,0.14,,0.18,0.12,0.29
d_0,0.16,0.17,,0.31,0.14,0.08,0.24,1.98,0.26,0.26,0.27,0.35,0.34,0.16,0.32,0.25
g_1,0.09,0.08,0.18,0.09,0.11,,0.17,0.25,3.05,0.21,0.19,0.33,0.28,0.21,0.25,
c_0,0.15,0.17,0.18,,0.12,0.09,0.32,0.25,0.22,2.12,0.53,0.24,0.44,0.23,,0.37
b_0,0.22,0.17,0.14,0.11,,0.07,0.29,0.3,0.24,0.3,2.23,0.22,0.35,0.26,0.57,0.28
f_0,0.19,,0.13,0.08,0.12,0.15,0.37,0.29,0.36,0.35,0.3,2.25,0.37,0.4,,0.42
h_0,0.25,0.35,0.25,0.16,0.13,0.13,,0.67,0.5,0.53,0.35,0.38,,0.34,0.29,0.6
e_0,,0.2,0.13,0.14,0.12,,0.33,0.32,0.21,0.32,0.28,0.39,0.41,2.77,,0.41
a_0,0.16,0.19,0.16,0.13,,,0.3,0.25,0.24,,0.4,,0.37,,2.74,
g_0,0.19,0.24,0.35,0.27,0.26,,0.31,0.41,,0.51,0.31,0.57,0.63,0.36,,
