,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,94.13,76.22,95.98,163.07,205.52,424.83,11408.72,33461.32,23403.73,24744.77,35595.8,45654.37,163730.65,170820.2,160281.19,234572.53
f_1,85.24,109.51,89.3,127.95,164.11,366.02,10566.07,22397.37,21960.28,22366.33,32572.45,32286.74,123675.59,153333.54,131832.06,237485.67
d_1,55.45,73.34,139.85,86.27,169.9,382.61,10233.39,15394.27,31494.15,19077.13,33452.17,36520.13,128688.17,150931.01,162488.99,191878.91
c_1,42.8,59.27,88.79,167.78,252.54,373.29,8844.52,15837.67,15016.36,18647.49,21575.37,30736.94,113443.68,111065.17,145201.39,186736.45
b_1,41.98,56.52,72.62,77.9,234.88,510.11,7798.53,15184.55,17296.54,19151.03,20214.61,32630.45,96300.98,97479.22,144145.99,153820.67
a_1,36.02,49.91,52.65,69.53,89.82,452.31,7027.87,13249.58,12748.77,10912.68,18710.7,20082.97,83687.1,85587.06,110369.32,146435.58
h_1,14.53,21.07,26.04,29.63,41.17,80.6,3436.48,4753.4,5926.48,6503.96,7835.72,9679.32,30807.52,41400.06,39999.54,65051.0
d_0,10.92,14.87,16.7,36.45,42.05,81.26,2085.38,5001.8,3642.51,4563.8,6024.89,7865.71,29960.19,30741.62,35228.46,48834.02
c_0,12.84,16.81,18.45,21.02,32.59,82.92,2372.61,4000.76,5643.82,4599.35,9157.88,7882.11,26273.07,38645.06,36593.52,47516.66
g_1,9.99,13.12,25.93,22.43,31.94,85.95,2041.57,3545.35,4652.86,6357.24,6080.07,9877.32,24984.66,26963.35,43346.18,38018.58
b_0,10.86,13.67,18.13,24.01,28.13,63.8,2096.12,3751.4,3971.26,4184.67,6999.92,6902.72,26128.02,45741.65,31651.42,41023.1
f_0,8.02,12.38,17.81,23.08,29.89,70.41,1867.06,3488.65,3968.52,3693.41,5778.55,8584.33,24374.12,27758.29,47988.43,33275.37
h_0,6.79,10.25,11.98,14.93,22.74,46.09,1256.88,2270.12,2748.98,3324.98,3691.54,4692.92,14272.12,17685.94,21648.55,30793.32
a_0,6.5,8.28,10.76,14.42,20.04,30.85,1177.05,2110.54,2236.09,2605.76,2833.82,4524.64,16541.04,23561.63,17332.72,23630.77
e_0,5.62,8.84,10.56,12.08,18.51,41.93,1281.83,2076.34,2477.74,2315.7,3899.25,3984.18,14397.55,18152.63,25775.15,21592.41
g_0,5.75,6.53,12.98,11.94,19.01,35.98,1063.88,1778.72,2383.84,2002.66,3341.07,5288.39,12659.56,17465.16,21229.36,21356.97
