,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,103.12,64.36,83.91,77.31,90.84,252.42,7270.39,12994.54,27729.24,18679.81,20992.37,31479.22,75437.88,87866.93,65417.5,163339.06
f_1,65.89,130.19,71.22,62.28,84.34,161.85,5255.55,12379.41,16201.65,17936.49,19663.86,15644.22,59043.88,80603.35,77287.83,124141.0
c_1,35.4,54.11,141.71,65.44,145.35,179.22,7304.27,12483.43,13619.55,13588.17,9428.43,34039.29,66420.59,81270.4,84551.97,142357.78
d_1,36.34,56.65,55.99,149.24,92.03,184.59,7747.62,12762.69,13089.08,19661.02,30271.23,31177.52,59238.25,69998.15,97276.74,100067.59
b_1,37.92,54.02,45.98,56.39,191.75,305.41,6357.2,9565.2,11993.55,8444.55,18778.05,22773.58,47075.97,83725.11,75671.0,133221.5
a_1,27.7,44.6,44.51,50.52,48.93,368.47,6585.35,9674.3,10893.9,11780.63,12354.68,20144.45,38745.59,64843.88,61273.89,90247.94
h_1,11.47,22.44,14.97,18.83,27.48,39.02,3370.16,4440.48,4434.26,4580.81,5479.86,7299.91,17187.44,18228.67,30112.44,51430.71
g_1,9.73,12.58,13.81,21.57,19.51,35.1,1477.16,5398.93,3240.67,3826.96,3990.34,9770.62,11876.7,16441.99,23469.23,25089.12
d_0,7.92,13.31,23.97,8.98,23.54,40.13,1474.52,2666.26,5175.1,4179.41,3328.8,6814.91,14812.42,20997.79,22123.41,28363.3
b_0,9.97,12.69,15.43,15.75,12.51,38.46,1611.74,2889.33,3081.49,5623.11,4276.81,7548.27,26385.73,20405.35,21367.71,29030.25
c_0,9.96,12.66,11.87,13.68,13.92,45.42,1501.49,2726.33,3905.28,5879.11,6096.06,6725.3,15483.73,19384.34,22455.41,28281.55
f_0,6.86,7.57,12.11,12.64,19.49,33.69,1364.79,2200.6,2956.35,3197.44,3399.99,9010.66,14118.18,16882.31,30968.35,20977.6
a_0,5.83,8.66,8.89,10.86,15.82,16.07,917.03,1790.66,2370.18,2224.84,2643.62,3928.01,15711.36,15284.62,12994.04,21107.89
h_0,6.13,10.78,9.29,10.59,10.83,23.73,709.42,2317.29,1866.21,2235.09,2510.91,4107.5,8630.62,8290.27,9890.61,21113.34
e_0,4.8,9.19,8.77,8.18,11.06,21.32,824.07,1475.45,1964.21,2456.22,2512.89,3779.93,10704.74,13404.5,19540.63,20218.97
g_0,5.36,5.89,7.07,11.93,9.83,22.04,664.95,1020.32,1791.81,2452.74,2369.28,5214.3,8203.96,9087.17,10537.88,14237.4
