,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.53,0.79,0.62,0.56,0.66,0.55,0.72,0.71,1.35,0.94,0.54,0.84,0.83,0.66,0.74,0.82
f_1,0.62,1.53,1.08,0.65,0.57,0.63,0.73,0.67,0.69,0.78,0.76,0.34,0.72,0.67,0.58,0.74
e_1,0.68,0.64,1.53,0.84,0.67,0.51,0.83,0.71,0.77,0.76,1.36,0.81,0.88,0.7,0.43,0.69
c_1,0.77,0.64,0.63,1.57,1.12,0.49,0.75,0.81,0.44,0.63,0.72,0.86,0.82,0.7,0.63,0.79
b_1,0.71,0.81,0.67,0.53,1.61,1.13,0.8,0.69,0.85,0.49,0.67,0.72,0.85,0.72,0.66,0.83
a_1,0.79,0.74,0.85,0.79,0.41,1.72,1.0,0.82,0.89,1.14,1.01,0.73,1.25,0.63,0.95,0.86
h_1,1.08,1.15,0.79,0.93,0.76,0.65,1.73,1.24,0.98,1.01,0.8,0.91,0.73,0.88,0.89,1.26
g_1,1.35,0.87,0.83,0.83,0.8,0.72,0.94,1.79,1.08,0.93,0.86,1.46,1.17,0.88,0.86,0.66
c_0,0.86,1.08,0.91,0.77,0.71,0.8,1.14,1.01,1.62,1.94,1.2,1.25,1.32,1.19,0.99,1.11
b_0,0.96,1.09,0.95,1.12,0.65,0.58,1.15,1.14,0.94,1.61,1.17,1.1,1.32,1.45,0.98,1.01
d_0,0.65,0.87,0.83,1.68,0.9,0.65,1.23,1.08,0.91,1.04,1.58,1.16,1.22,1.0,1.05,1.12
f_0,0.99,0.99,0.79,1.05,1.01,0.81,1.11,0.99,1.07,1.17,1.08,1.66,1.37,0.84,1.72,1.04
h_0,1.14,1.2,0.93,1.01,0.9,0.63,1.03,1.34,1.07,1.19,1.1,1.15,0.98,0.95,1.15,1.39
a_0,1.15,1.04,0.87,1.04,0.97,0.5,1.3,1.22,1.05,1.14,1.19,1.32,1.5,1.74,0.97,1.48
e_0,1.03,1.18,0.59,1.24,0.98,0.76,1.1,1.2,1.19,1.32,0.98,0.97,1.46,1.34,1.75,1.25
g_0,1.35,0.97,0.92,1.07,1.03,0.79,1.17,1.0,1.27,1.25,1.02,1.58,1.15,0.8,1.1,0.98
