,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.88,0.1,0.08,0.05,0.06,0.05,0.09,0.06,0.14,0.02,0.08,0.07,0.06,0.09,0.04,0.09
f_1,0.1,0.88,0.15,0.07,0.07,0.03,0.08,0.06,0.08,0.08,0.07,0.02,0.05,0.07,0.03,0.05
e_1,0.08,0.09,0.88,0.1,0.06,0.05,0.07,0.06,0.08,0.15,0.08,0.07,0.06,0.08,0.01,0.06
c_1,0.09,0.1,0.08,0.87,0.12,0.05,0.07,0.07,0.01,0.07,0.04,0.07,0.05,0.08,0.04,0.05
b_1,0.1,0.1,0.07,0.08,0.87,0.1,0.07,0.07,0.08,0.09,0.01,0.05,0.04,0.06,0.04,0.05
a_1,0.07,0.08,0.07,0.1,0.1,0.87,0.09,0.05,0.07,0.07,0.07,0.07,,0.07,0.07,0.08
h_1,0.19,0.24,0.13,0.12,0.08,0.05,0.53,0.14,0.14,0.11,0.14,0.11,0.07,0.05,0.09,0.13
g_1,0.26,0.13,0.12,0.13,0.09,0.08,0.14,0.53,0.11,0.12,0.16,0.16,0.09,0.14,0.11,0.04
c_0,0.2,0.14,0.18,0.06,0.08,0.08,0.13,0.12,0.39,0.12,0.27,0.12,0.12,0.12,0.1,0.13
d_0,0.07,0.16,0.14,0.31,0.12,0.08,0.13,0.11,0.08,0.34,0.12,0.1,0.11,0.13,0.08,0.09
b_0,0.22,0.2,0.13,0.18,0.04,0.05,0.15,0.11,0.12,0.14,0.37,0.11,0.16,0.12,0.09,0.09
f_0,0.19,0.04,0.13,0.13,0.13,0.1,0.18,0.14,0.18,0.14,0.16,0.38,0.1,0.13,0.23,0.15
a_0,0.16,0.18,0.13,0.21,0.12,,0.15,0.12,0.14,0.12,0.15,0.11,0.36,0.15,0.09,0.09
h_0,0.17,0.23,0.14,0.15,0.09,0.08,0.05,0.14,0.13,0.12,0.12,0.1,0.1,0.05,0.07,0.12
e_0,0.2,0.14,0.06,0.17,0.17,0.1,0.12,0.1,0.13,0.14,0.13,0.11,0.1,0.15,0.36,0.1
g_0,0.29,0.14,0.11,0.15,0.09,0.06,0.14,0.05,0.14,0.12,0.14,0.18,0.1,0.14,0.1,0.05
