,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,100.44,11.41,15.68,19.18,26.23,72.18,2180.58,3109.14,6083.15,4351.0,10207.49,8880.88,20010.54,32469.07,27721.16,
f_1,18.5,107.32,14.05,16.75,22.39,68.13,1448.08,3712.35,3982.25,7178.43,9165.8,,17713.31,31635.78,21677.18,35713.69
d_1,11.88,11.01,132.5,13.44,21.21,67.56,1393.41,2399.07,,8701.96,9299.49,8987.89,19776.69,25374.34,36240.03,32170.42
c_1,9.65,11.03,17.14,144.49,28.26,71.67,1804.67,3382.15,3109.93,,5414.1,7297.63,20561.31,31428.89,27954.06,22338.23
b_1,8.19,11.05,12.72,13.54,182.27,81.59,1199.67,2814.21,2991.94,5529.83,,7365.25,20292.83,28819.01,22514.17,26084.19
a_1,6.94,7.13,6.13,10.41,12.8,496.11,1007.67,2079.31,2492.58,2392.47,4244.49,4597.94,9579.24,21617.74,,
h_1,4.7,7.53,7.9,6.71,12.23,31.02,2746.67,1600.38,1842.7,2157.08,4429.37,5862.95,,23090.11,16597.98,18617.66
g_1,3.85,4.67,8.84,6.55,7.07,23.91,713.94,5008.96,1410.12,1613.5,2686.17,4873.29,6711.36,,12750.73,13703.16
d_0,4.08,5.58,,10.22,12.25,31.14,684.46,1260.22,4182.77,2100.73,4067.32,4161.24,9674.58,17903.06,14081.44,13079.4
c_0,5.07,3.61,5.02,,6.31,29.43,787.01,1710.6,1604.89,5465.57,6055.67,4204.68,6112.44,19095.21,10842.04,
b_0,3.04,4.43,4.41,7.69,,25.06,614.42,1186.76,1387.38,1319.51,8154.05,3087.43,6836.95,12699.44,13128.62,12399.27
f_0,3.97,,5.49,6.46,6.93,25.67,401.17,1067.82,960.3,1635.26,2666.92,8442.38,7489.18,12071.35,11545.35,
h_0,3.49,5.6,4.76,5.04,7.68,25.42,,1167.37,1452.56,1627.99,2844.2,2867.73,,14649.64,9873.68,14884.33
g_0,2.92,3.06,7.64,4.31,6.74,22.27,339.64,,894.26,1028.17,2450.48,3427.07,4430.66,,,8609.69
a_0,2.0,2.37,3.36,4.64,4.52,,321.11,584.41,862.85,1716.27,2220.62,1617.17,5794.79,,22283.93,
e_0,,2.54,2.56,4.41,4.66,,331.35,755.93,882.02,,1568.07,,3591.73,9000.09,,26395.23
