,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.49,1.19,0.54,0.62,0.56,0.5,0.94,0.81,0.73,0.76,0.95,0.48,0.98,0.84,0.65,0.9
e_1,0.72,2.55,0.86,0.5,0.64,0.59,0.88,1.62,0.86,0.9,0.96,0.97,0.88,0.87,0.5,1.02
c_1,0.59,0.55,2.75,0.58,1.26,0.69,0.87,0.84,0.79,0.29,0.66,0.92,0.93,1.02,1.03,0.94
d_1,0.76,0.53,0.52,2.96,0.56,0.54,0.94,0.54,0.98,1.96,1.31,0.93,1.09,1.09,1.13,1.03
b_1,0.66,0.58,0.69,0.56,3.11,1.31,0.95,0.89,0.8,0.78,0.38,1.1,0.89,0.77,1.03,0.82
a_1,0.66,0.69,0.7,0.8,0.56,4.59,0.86,0.95,1.17,0.88,0.73,1.05,1.05,0.47,0.86,0.78
h_1,1.11,0.82,0.77,0.93,0.57,0.58,2.78,0.89,1.39,1.08,1.1,0.98,0.7,1.1,1.17,1.56
d_0,0.85,0.75,1.42,0.49,0.78,0.75,1.09,1.97,1.08,0.86,1.31,0.93,1.02,1.05,1.13,1.17
g_1,0.68,0.59,0.78,1.46,0.71,0.64,0.93,0.99,3.32,1.19,1.22,1.99,0.97,1.03,1.43,0.75
c_0,0.9,0.73,0.61,1.0,0.57,0.75,1.1,1.33,1.31,2.39,2.46,1.15,1.49,1.38,1.2,1.28
b_0,0.88,0.87,0.88,0.92,0.38,0.45,1.17,1.26,1.35,1.42,2.81,1.32,1.39,2.53,1.05,1.38
f_0,0.51,0.7,0.91,1.05,0.76,0.74,1.11,1.08,1.19,1.12,1.15,2.72,1.41,1.21,2.6,1.34
h_0,1.12,0.82,0.73,0.98,0.73,0.67,0.69,0.91,1.43,1.09,1.04,1.12,0.76,1.1,1.23,1.55
a_0,0.84,0.84,0.92,0.9,0.7,0.36,1.25,0.92,1.18,1.14,1.27,1.28,1.2,2.96,1.57,1.24
e_0,0.83,0.36,0.9,1.15,0.91,0.71,1.19,1.13,1.09,1.09,1.44,1.15,1.33,1.34,3.24,1.35
g_0,0.82,0.61,0.83,1.28,0.74,0.92,0.94,0.82,0.71,1.06,1.11,1.68,1.27,1.3,1.25,0.79
