,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.28,0.9,0.65,0.99,0.81,0.63,1.52,1.23,3.01,1.59,1.63,1.48,2.26,1.38,0.93,1.84
f_1,1.4,2.31,0.7,0.83,0.79,0.47,1.35,1.15,1.76,1.64,1.67,0.99,2.17,1.17,0.8,1.96
d_1,0.89,0.96,2.49,0.6,0.61,0.61,1.64,1.47,1.01,3.3,2.01,1.79,2.23,1.79,1.56,1.82
c_1,0.76,0.79,0.78,2.5,1.47,0.57,1.54,1.2,1.63,0.79,1.22,1.61,1.9,1.25,1.69,1.67
b_1,0.77,0.81,0.9,0.96,2.59,1.26,1.41,1.5,1.59,1.45,1.01,1.62,1.96,1.1,1.41,1.76
a_1,0.88,0.92,0.86,0.82,0.8,3.22,1.71,1.17,1.76,1.85,1.69,1.81,2.38,0.8,1.47,2.25
h_1,0.86,1.26,0.96,0.85,0.75,0.7,3.3,2.06,1.46,1.73,1.82,1.78,1.66,1.56,1.65,2.66
g_1,0.71,0.95,1.5,0.9,0.65,0.64,1.56,3.67,1.44,1.94,1.93,2.77,2.15,1.49,1.95,1.6
d_0,0.92,0.96,0.57,1.56,1.01,0.61,1.87,1.55,2.94,1.21,1.81,1.61,2.2,1.5,1.51,2.02
c_0,0.96,1.19,0.96,0.73,0.67,0.61,1.95,1.63,1.69,3.04,3.3,1.74,2.53,2.02,1.86,2.1
b_0,1.06,1.08,0.94,0.86,0.54,0.63,1.75,1.66,1.93,1.8,3.13,1.4,2.3,3.3,1.47,2.2
f_0,0.74,0.8,1.22,0.8,0.86,0.75,1.86,1.6,1.8,2.17,2.12,3.28,2.69,1.73,3.38,2.61
h_0,0.96,1.27,0.96,0.88,0.87,0.54,1.2,1.91,1.98,1.85,1.65,1.7,1.67,1.16,1.47,2.81
a_0,1.04,1.16,1.04,0.81,0.71,0.47,1.51,1.61,1.57,2.13,1.78,1.58,2.8,3.71,1.77,2.31
e_0,0.69,1.14,0.91,0.83,1.0,0.75,1.94,1.58,1.78,1.95,2.19,1.75,2.94,1.69,3.44,2.13
g_0,0.91,0.9,1.37,0.89,0.73,0.65,1.74,1.29,1.69,1.77,1.83,2.59,2.26,1.75,1.84,1.75
