,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.47,0.67,0.64,0.79,0.65,0.56,0.92,0.95,1.65,0.85,0.96,0.99,0.91,1.05,0.56,0.98
f_1,1.24,2.49,0.57,0.6,0.5,0.5,0.87,0.76,0.87,0.74,0.56,0.91,0.94,0.95,0.47,0.79
d_1,0.53,0.73,2.98,0.56,0.61,0.72,0.92,0.87,0.41,1.89,0.85,1.04,0.89,0.92,1.13,0.94
c_1,0.58,0.65,0.64,2.94,1.22,0.52,0.93,0.79,0.85,0.36,0.83,0.68,0.97,0.73,0.84,0.94
b_1,0.6,0.64,0.59,0.65,3.14,1.22,0.93,0.94,0.91,0.89,1.05,0.48,0.91,0.71,1.07,0.85
a_1,0.66,0.72,0.69,0.67,0.58,4.49,0.77,0.79,0.89,0.96,0.95,1.08,1.27,0.63,0.81,0.99
h_1,0.7,1.04,0.91,0.65,0.77,0.68,2.57,1.54,0.96,1.13,1.15,1.12,0.76,1.29,1.33,1.41
g_1,0.68,0.69,1.35,0.74,0.67,0.75,0.97,3.15,0.84,1.09,1.87,1.25,1.19,1.27,1.42,0.84
d_0,0.68,0.82,0.42,1.65,0.87,0.8,1.03,1.09,2.15,0.77,1.16,1.29,0.98,0.93,1.19,1.17
c_0,0.72,0.94,0.87,0.47,0.61,0.85,1.15,1.21,1.14,2.25,1.25,2.51,1.22,1.33,1.7,1.39
f_0,0.64,0.56,0.92,0.85,0.79,0.72,1.17,1.29,1.07,1.23,2.57,1.31,1.4,1.35,2.98,1.34
b_0,0.79,0.91,0.83,0.84,0.43,0.66,1.15,1.08,1.18,0.92,1.4,2.35,1.32,2.56,1.45,1.59
h_0,0.72,1.17,0.89,0.89,0.7,0.58,0.87,1.42,0.92,1.07,1.16,1.18,0.77,1.13,1.29,1.58
a_0,0.73,0.99,0.97,0.75,0.75,0.28,1.38,1.06,0.96,1.22,1.56,1.07,1.65,3.1,1.42,1.39
e_0,0.52,0.82,0.93,0.95,0.82,0.88,1.25,1.25,1.12,1.21,1.0,1.19,1.25,1.14,3.27,1.36
g_0,0.66,0.63,1.33,0.84,0.78,0.7,1.24,0.94,1.01,1.05,1.86,1.15,1.16,1.05,1.42,0.99
