,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.95,0.45,0.65,0.99,0.65,0.53,1.09,2.23,0.82,0.88,1.1,1.02,0.98,1.12,0.84,0.95
d_1,0.57,15.52,0.71,0.47,0.61,0.55,0.92,0.54,0.95,2.42,1.33,1.2,1.09,0.94,1.11,1.27
f_1,1.45,0.6,12.26,0.6,0.61,0.61,0.78,0.87,0.79,0.76,0.96,0.48,1.01,1.02,0.65,0.8
c_1,0.55,0.59,0.63,13.68,1.74,0.68,0.93,0.9,0.85,0.39,0.58,0.91,0.84,0.89,0.91,0.92
b_1,0.56,0.72,0.65,0.6,14.49,1.92,0.82,0.7,0.88,0.85,0.42,0.86,0.89,0.55,0.87,0.84
a_1,0.67,0.78,0.81,0.71,0.47,23.14,0.97,0.83,1.07,0.95,0.87,0.95,1.07,0.58,0.98,0.96
h_1,0.65,0.9,1.38,0.69,0.64,0.58,3.63,0.78,1.44,0.93,1.16,0.92,0.69,1.19,0.99,1.36
d_0,0.73,0.46,0.73,2.38,0.75,0.72,1.18,2.16,0.98,0.61,1.22,0.84,1.08,1.21,0.96,0.99
g_1,0.59,1.56,0.57,0.71,0.68,0.68,0.96,0.76,4.97,1.1,1.0,2.63,0.87,1.05,1.28,0.87
c_0,0.67,1.0,1.01,0.5,0.48,0.74,1.08,1.18,1.09,2.74,3.39,1.22,1.53,1.39,1.27,1.11
b_0,0.81,0.8,0.87,0.93,0.4,0.47,1.28,1.14,1.21,1.05,2.81,1.32,1.25,3.06,1.28,1.09
f_0,0.59,1.05,0.48,0.81,0.72,0.8,1.14,1.22,1.29,1.26,1.23,3.32,1.02,1.4,3.52,1.3
h_0,0.68,1.03,0.95,0.92,0.57,0.75,0.65,0.95,1.51,1.05,1.02,1.08,0.82,1.04,1.05,1.82
a_0,0.86,1.02,0.74,0.96,0.78,0.36,1.04,1.15,1.37,0.92,1.06,1.07,1.41,2.83,1.19,0.97
e_0,0.52,1.18,0.81,0.74,0.68,0.63,1.29,1.6,1.15,1.17,1.48,1.17,1.7,1.35,3.73,1.51
g_0,0.57,1.86,0.67,0.71,0.62,0.57,1.07,0.9,0.71,1.41,1.23,1.78,1.11,1.12,1.18,0.78
