,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.92,0.45,0.35,0.46,0.33,0.19,0.35,0.28,0.6,0.34,0.32,0.29,0.35,0.24,0.29,0.15
f_1,0.67,0.92,0.35,0.36,0.29,0.21,0.31,0.28,0.4,0.31,0.32,0.2,0.35,0.21,0.25,0.15
d_1,0.45,0.46,0.92,0.33,0.28,0.22,0.42,0.31,0.27,0.61,0.39,0.32,0.38,0.24,0.3,0.22
c_1,0.39,0.41,0.37,0.92,0.58,0.23,0.35,0.3,0.38,0.25,0.21,0.3,0.33,0.22,0.24,0.19
b_1,0.41,0.47,0.37,0.34,0.91,0.42,0.35,0.29,0.31,0.33,0.22,0.3,0.37,0.17,0.25,0.2
a_1,0.44,0.47,0.43,0.37,0.33,0.89,0.38,0.26,0.39,0.37,0.28,0.33,0.43,0.16,0.32,0.22
h_1,0.48,0.57,0.45,0.38,0.35,0.2,0.66,0.43,0.39,0.31,0.37,0.31,0.31,0.26,0.38,0.22
g_1,0.4,0.44,0.59,0.39,0.32,0.23,0.43,0.65,0.31,0.34,0.36,0.48,0.4,0.25,0.29,0.26
d_0,0.45,0.46,0.3,0.68,0.41,0.21,0.37,0.3,0.55,0.28,0.3,0.3,0.43,0.22,0.3,0.22
c_0,0.5,0.51,0.41,0.38,0.29,0.25,0.4,0.35,0.42,0.54,0.57,0.3,0.41,0.27,0.32,0.26
b_0,0.48,0.48,0.46,0.46,0.24,0.14,0.45,0.43,0.4,0.36,0.55,0.37,0.39,0.48,0.36,0.26
f_0,0.39,0.39,0.46,0.46,0.36,0.23,0.42,0.37,0.37,0.38,0.35,0.57,0.47,0.28,0.37,0.43
h_0,0.46,0.6,0.45,0.36,0.32,0.24,0.29,0.44,0.33,0.36,0.35,0.32,0.29,0.24,0.41,0.22
a_0,0.49,0.49,0.46,0.46,0.33,0.16,0.43,0.34,0.42,0.39,0.41,0.38,0.46,0.49,0.31,0.22
g_0,0.44,0.46,0.6,0.41,0.28,0.24,0.36,0.31,0.33,0.38,0.38,0.46,0.38,0.25,0.28,0.25
e_0,0.34,0.48,0.48,0.43,0.37,0.25,0.46,0.38,0.39,0.37,0.36,0.34,0.42,0.26,0.3,0.44
