,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.18,0.38,0.65,0.7,0.83,0.62,0.18,0.15,0.22,0.14,0.15,0.2,0.12,0.1,0.34,0.11
f_1,0.59,0.17,0.65,0.7,0.63,0.58,0.13,0.15,0.23,0.12,0.11,0.27,0.15,0.07,0.13,0.11
d_1,0.82,0.66,0.16,0.7,0.56,0.75,0.19,0.29,0.12,0.12,0.15,0.1,0.14,0.09,0.11,0.06
c_1,0.54,0.72,0.87,0.15,0.61,0.53,0.21,0.07,0.18,0.22,0.13,0.12,0.12,0.1,0.13,0.1
b_1,0.65,0.81,0.74,0.36,0.13,0.65,0.2,0.15,0.21,0.21,0.3,0.14,0.15,0.11,0.13,0.08
a_1,0.67,0.82,0.74,0.62,0.34,0.09,0.22,0.15,0.23,0.16,0.17,0.13,0.27,0.12,0.11,0.13
h_1,0.52,0.55,0.49,0.52,0.59,0.47,0.06,0.12,0.14,0.1,0.09,0.09,0.09,0.13,0.09,0.08
d_0,0.28,0.56,0.97,0.59,0.58,0.66,0.17,0.06,0.17,0.1,0.1,0.09,0.12,0.08,0.12,0.09
g_1,0.47,0.52,0.47,0.63,0.58,0.53,0.14,0.1,0.05,0.1,0.09,0.11,0.12,0.05,0.1,0.12
c_0,0.56,0.53,0.27,1.18,0.62,0.51,0.18,0.16,0.13,0.06,0.12,0.1,0.12,0.07,0.09,0.09
b_0,0.44,0.57,0.43,0.72,1.12,0.46,0.16,0.1,0.13,0.05,0.05,0.09,0.13,0.09,0.09,0.07
f_0,0.45,1.47,0.47,0.51,0.52,0.44,0.16,0.1,0.09,0.1,0.1,0.05,0.1,0.07,0.1,0.04
a_0,0.59,0.48,0.43,0.55,0.74,0.98,0.15,0.11,0.13,0.09,0.05,0.1,0.04,0.08,0.1,0.08
h_0,0.51,0.51,0.48,0.52,0.53,0.5,0.22,0.11,0.13,0.1,0.11,0.1,0.1,0.11,0.08,0.07
e_0,0.83,0.76,0.38,0.63,0.44,0.45,0.15,0.13,0.13,0.11,0.12,0.05,0.09,0.08,0.04,0.07
g_0,0.48,0.68,0.44,0.44,0.62,0.57,0.12,0.14,0.19,0.1,0.11,0.09,0.12,0.05,0.09,0.11
