,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.21,1.42,1.5,1.78,3.16,16.67,27.02,32.48,35.39,47.22,48.74,85.22,88.73,105.92,147.61
e_1,0.82,1.0,1.38,1.41,1.85,3.38,19.89,39.35,41.48,38.06,52.97,70.38,103.76,118.48,117.69,161.17
c_1,0.71,0.71,1.0,1.45,1.92,2.76,15.0,15.02,26.46,22.86,34.45,39.24,65.04,74.6,71.92,111.42
d_1,0.67,0.7,0.7,1.0,1.05,1.82,12.83,17.71,16.52,32.66,36.05,33.82,61.6,71.34,79.71,75.57
b_1,0.56,0.55,0.53,0.96,1.0,2.93,9.87,14.86,16.77,25.56,26.12,31.38,53.98,57.49,50.77,76.62
a_1,0.32,0.3,0.35,0.53,0.35,1.0,6.21,8.85,10.19,10.92,18.78,16.05,31.98,31.89,34.99,49.05
h_1,0.06,0.05,0.07,0.08,0.1,0.15,1.0,1.31,1.92,1.9,2.45,2.9,4.68,5.45,5.27,8.02
d_0,0.04,0.03,0.07,0.06,0.07,0.11,0.76,1.0,1.44,1.21,1.7,1.78,3.71,4.53,4.1,5.52
g_1,0.03,0.02,0.04,0.06,0.06,0.1,0.52,0.7,1.0,1.14,1.47,1.98,2.45,3.42,2.89,4.18
c_0,0.03,0.03,0.04,0.03,0.04,0.09,0.5,0.84,0.88,1.0,2.0,1.55,2.45,2.81,3.33,3.62
b_0,0.02,0.02,0.03,0.03,0.04,0.05,0.41,0.57,0.69,0.53,1.0,1.02,1.78,2.17,2.94,2.76
f_0,0.02,0.01,0.03,0.03,0.03,0.06,0.34,0.53,0.51,0.64,0.92,1.0,1.81,2.58,1.66,2.08
h_0,0.01,0.01,0.02,0.02,0.02,0.03,0.21,0.26,0.4,0.39,0.52,0.54,1.0,1.08,1.01,1.73
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.22,0.31,0.36,0.43,0.39,0.88,1.0,0.96,1.27
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.24,0.34,0.31,0.35,0.58,1.01,1.1,1.0,1.35
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.19,0.23,0.28,0.35,0.46,0.57,0.75,0.72,1.0
