,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,112.89,103.14,85.6,88.13,129.29,513.15,11306.28,20814.58,27290.88,28685.75,27876.76,50665.67,90695.9,104745.82,146682.78,221388.12
e_1,72.31,113.17,109.96,84.34,148.51,561.19,11368.75,21476.18,37883.84,29002.92,37426.14,50064.81,98875.59,116809.54,152376.13,230243.58
c_1,72.23,62.98,128.85,93.12,213.23,438.85,11610.65,20354.39,19247.0,22053.4,31475.81,38392.82,95991.52,130871.44,130247.82,213612.99
d_1,74.84,69.8,69.45,137.11,128.83,479.61,11503.67,17881.07,21466.58,44074.81,31583.62,53624.75,94241.84,128840.23,131990.51,221139.99
b_1,63.58,60.67,64.02,73.51,192.94,764.75,10682.65,16732.12,18325.71,23765.66,26883.73,35837.73,77240.14,110054.49,101770.07,182055.89
a_1,42.86,41.95,54.36,52.08,56.53,564.54,6640.43,12550.74,14411.44,14971.67,19850.62,30904.53,55711.86,76195.04,67552.03,113330.76
h_1,21.84,17.47,20.17,23.31,31.7,114.06,3710.91,6023.96,5819.2,6885.5,8063.47,12493.24,22106.83,30484.07,31986.16,61947.77
g_1,14.47,14.19,17.02,25.06,26.38,94.89,2216.39,5975.99,4279.99,6376.19,8792.61,10311.1,17683.78,28743.35,27214.03,40144.22
d_0,14.63,12.57,26.15,15.29,31.43,99.71,2302.52,4549.05,5622.87,4598.1,6911.49,9390.62,20132.65,24087.4,27752.74,40263.06
c_0,15.37,14.03,16.74,16.46,22.92,96.58,2097.0,4002.52,4951.6,7005.65,5914.38,14614.81,20511.85,28483.23,31525.61,45979.41
f_0,12.79,11.63,17.14,18.49,26.46,92.34,2198.45,3396.03,4276.29,5263.32,7628.72,9732.04,18710.56,36666.91,24180.99,37787.45
b_0,12.73,11.93,15.01,15.84,17.53,67.0,1791.91,3721.9,4139.58,4268.53,4914.55,10146.96,17455.18,20286.55,35709.64,33818.61
h_0,12.26,9.44,11.67,12.87,18.23,61.86,1479.96,3555.23,3336.8,3715.39,4306.34,6909.83,12654.61,17614.65,19562.36,33326.99
e_0,9.9,8.12,9.35,11.53,16.98,60.43,1415.19,2511.6,2705.39,3483.88,3849.06,6935.67,12712.13,20883.54,15945.59,23327.99
a_0,9.11,7.5,10.42,12.2,15.58,49.35,1359.35,2784.58,2812.34,3425.72,3864.38,5200.82,12210.28,15507.17,21245.41,24743.33
g_0,7.06,6.93,8.89,11.59,15.09,51.22,1139.56,2061.45,2586.26,3208.69,4404.18,5854.05,10068.92,16160.53,15940.51,20208.83
