,Unnamed: 0,Unnamed: 0.1,No,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,PM2.5_cluster,PM10_cluster,TEMP_cluster,PRES_cluster,DEWP_cluster,RAIN_cluster,WSPM_cluster,time_set,wd_cluster,TEMP_cluster_cluster,PRES_cluster_cluster,DEWP_cluster_cluster,RAIN_cluster_cluster,WSPM_cluster_cluster,PM10_cluster_cluster
0,2209,,2210,120.0,128.0,35.0,49.0,1100.0,98.0,20.7,999.9,16.9,0.0,ESE,0.5,Dongsi,PM2.5_0,PM10_1,TEMP_1,PRES_0,DEWP_1,RAIN_0,WSPM_0,2013-06-01 01:00:00,ESE_0,TEMP_1_1,PRES_0_1,DEWP_1_0,RAIN_0_1,WSPM_0_1,PM10_1_3
1,2210,,2211,116.0,128.0,35.0,46.0,1000.0,62.0,20.0,1000.0,17.2,0.0,E,0.9,Dongsi,PM2.5_0,PM10_1,TEMP_1,PRES_0,DEWP_1,RAIN_0,WSPM_0,2013-06-01 02:00:00,E_0,TEMP_1_1,PRES_0_1,DEWP_1_0,RAIN_0_1,WSPM_0_1,PM10_1_3
2,2211,,2212,126.0,138.0,27.0,87.0,,,20.2,1000.5,17.0,0.0,NE,1.2,Dongsi,PM2.5_0,PM10_1,TEMP_1,PRES_0,DEWP_1,RAIN_0,WSPM_0,2013-06-01 03:00:00,NE_0,TEMP_1_1,PRES_0_1,DEWP_1_0,RAIN_0_1,WSPM_0_1,PM10_1_3
3,2212,,2213,117.0,121.0,23.0,88.0,900.0,46.0,19.8,1001.6,16.6,0.0,NE,1.1,Dongsi,PM2.5_0,PM10_1,TEMP_1,PRES_0,DEWP_1,RAIN_0,WSPM_0,2013-06-01 04:00:00,NE_0,TEMP_1_1,PRES_0_1,DEWP_1_0,RAIN_0_1,WSPM_0_1,PM10_1_3
4,2213,,2214,134.0,196.0,25.0,114.0,1500.0,29.0,20.2,1002.3,16.4,0.0,ENE,1.3,Dongsi,PM2.5_0,PM10_1,TEMP_1,PRES_0,DEWP_1,RAIN_0,WSPM_0,2013-06-01 05:00:00,ENE_1,TEMP_1_1,PRES_0_1,DEWP_1_0,RAIN_0_1,WSPM_0_1,PM10_1_3
5,2214,,2215,146.0,221.0,25.0,117.0,1600.0,32.0,22.3,1002.9,16.3,0.0,ENE,1.4,Dongsi,PM2.5_1,PM10_1,TEMP_1,PRES_0,DEWP_1,RAIN_0,WSPM_0,2013-06-01 06:00:00,ENE_1,TEMP_1_1,PRES_0_1,DEWP_1_0,RAIN_0_1,WSPM_0_1,PM10_1_3
6,2215,,2216,149.0,189.0,32.0,99.0,1399.0,44.0,24.2,1003.3,16.7,0.0,ENE,1.3,Dongsi,PM2.5_1,PM10_1,TEMP_1,PRES_0,DEWP_1,RAIN_0,WSPM_0,2013-06-01 07:00:00,ENE_1,TEMP_1_1,PRES_0_1,DEWP_1_0,RAIN_0_1,WSPM_0_1,PM10_1_3
7,2216,,2217,134.0,146.0,48.0,85.0,1200.0,70.0,26.8,1003.2,11.7,0.0,E,2.1,Dongsi,PM2.5_0,PM10_1,TEMP_1,PRES_0,DEWP_1,RAIN_0,WSPM_0,2013-06-01 08:00:00,E_0,TEMP_1_1,PRES_0_1,DEWP_1_0,RAIN_0_1,WSPM_0_1,PM10_1_3
8,2217,,2218,95.0,147.0,37.0,48.0,900.0,98.0,28.8,1003.3,2.9,0.0,ENE,2.1,Dongsi,PM2.5_0,PM10_1,TEMP_1,PRES_0,DEWP_1,RAIN_0,WSPM_0,2013-06-01 09:00:00,ENE_0,TEMP_1_1,PRES_0_1,DEWP_1_0,RAIN_0_1,WSPM_0_1,PM10_1_3
9,2218,,2219,69.0,69.0,21.0,37.0,700.0,109.0,29.6,1003.4,0.2,0.0,ESE,2.5,Dongsi,PM2.5_0,PM10_0,TEMP_1,PRES_0,DEWP_0,RAIN_0,WSPM_0,2013-06-01 10:00:00,ESE_0,TEMP_1_1,PRES_0_1,DEWP_0_0,RAIN_0_1,WSPM_0_1,PM10_0_0
