,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,No,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,PM2.5_cluster,PM10_cluster,TEMP_cluster,PRES_cluster,DEWP_cluster,RAIN_cluster,WSPM_cluster,time_set,wd_cluster
0,6601,,,,,,,6602,40.0,49.0,24.0,62.0,,5.0,-1.4,1021.6,-12.1,0.0,ENE,0.5,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 01:00:00,ENE_0
1,6602,,,,,,,6603,88.0,116.0,55.0,68.0,,6.0,-2.3,1021.4,-11.8,0.0,NNW,0.4,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 02:00:00,NNW_0
2,6603,,,,,,,6604,98.0,110.0,53.0,66.0,,5.0,-2.8,1021.0,-11.1,0.0,N,0.4,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 03:00:00,N_0
3,6604,,,,,,,6605,88.0,103.0,46.0,66.0,,11.0,-2.5,1020.9,-11.0,0.0,ENE,0.8,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 04:00:00,ENE_0
4,6605,,,,,,,6606,92.0,102.0,38.0,67.0,,10.0,-3.4,1021.0,-11.4,0.0,ENE,0.6,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 05:00:00,ENE_0
5,6606,,,,,,,6607,131.0,130.0,51.0,72.0,,11.0,-4.3,1021.2,-11.1,0.0,NW,0.5,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 06:00:00,NW_0
6,6607,,,,,,,6608,87.0,93.0,44.0,71.0,,9.0,-2.9,1021.2,-10.2,0.0,WNW,0.9,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 07:00:00,WNW_0
7,6608,,,,,,,6609,69.0,87.0,35.0,70.0,,9.0,2.3,1021.6,-11.6,0.0,E,1.3,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 08:00:00,E_0
8,6609,,,,,,,6610,63.0,71.0,35.0,64.0,,8.0,5.0,1021.3,-11.6,0.0,NNE,1.3,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 09:00:00,NNE_0
9,6610,,,,,,,6611,43.0,51.0,44.0,55.0,,14.0,7.6,1020.6,-11.7,0.0,ENE,1.7,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 10:00:00,ENE_0
10,6611,,,,,,,6612,45.0,52.0,45.0,53.0,,20.0,9.4,1019.1,-12.5,0.0,NW,1.5,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 11:00:00,NW_0
11,6612,,,,,,,6613,43.0,39.0,31.0,43.0,,32.0,10.8,1018.1,-12.6,0.0,SW,1.7,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 12:00:00,SW_0
12,6613,,,,,,,6614,44.0,38.0,28.0,42.0,,37.0,12.0,1017.5,-12.4,0.0,W,1.6,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 13:00:00,W_0
13,6614,,,,,,,6615,45.0,48.0,32.0,51.0,,32.0,11.6,1016.8,-12.0,0.0,SW,1.9,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 14:00:00,SW_0
14,6615,,,,,,,6616,77.0,93.0,40.0,83.0,,20.0,10.8,1016.6,-12.0,0.0,SW,1.6,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 15:00:00,SW_0
15,6616,,,,,,,6617,84.0,100.0,30.0,77.0,,25.0,8.3,1016.7,-11.7,0.0,WSW,1.9,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 16:00:00,WSW_1
16,6617,,,,,,,6618,70.0,79.0,21.0,62.0,,27.0,7.5,1016.9,-11.3,0.0,WSW,2.4,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 17:00:00,WSW_1
17,6618,,,,,,,6619,77.0,90.0,21.0,68.0,,16.0,6.8,1016.9,-9.6,0.0,WSW,1.5,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 18:00:00,WSW_1
18,6619,,,,,,,6620,106.0,128.0,35.0,76.0,,10.0,5.7,1017.0,-9.7,0.0,W,1.4,Dongsi,PM2.5_0,PM10_0,TEMP_0,PRES_1,DEWP_0,RAIN_0,WSPM_0,2013-12-01 19:00:00,W_0
